student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4,sheets_semester,midterm,exam,no_show,passed,last_active_week,skill,commitment
50,first,0,16,86,28,14,6,20,0.3333,4,11,6.0,6.5,0,1,13,-0.2485,0.3924
51,first,0,20,28,2,3,0,9,0.6,3,10,7.0,7.0,0,1,13,0.7419,0.2627
52,first,0,22,103,42,16,6,20,0.2759,4,11,3.0,4.5,0,0,13,-0.8304,1.5092
53,repeat,0,2,23,6,1,1,0,0.1429,3,5,5.5,,1,0,13,-0.2031,-2.0479
54,first,1,10,32,2,5,0,9,0.7143,4,12,8.5,8.5,0,1,13,1.7661,1.1089
55,first,0,13,31,6,5,4,7,0.4545,2,6,6.0,9.0,0,1,13,0.5087,-0.4346
56,first,1,17,0,0,0,0,0,,0,7,5.5,5.0,0,1,13,-0.483,-1.1473
57,repeat,0,8,49,24,4,3,9,0.1429,2,5,1.5,,1,0,9,-1.5813,-0.9424
58,first,0,34,81,26,16,7,14,0.381,4,8,6.0,6.5,0,1,13,-0.4215,0.6717
59,first,0,17,47,10,8,4,10,0.4444,3,8,4.5,5.0,0,1,13,-0.4006,-0.9909
60,repeat,0,10,10,1,1,2,1,,1,3,0.0,2.5,0,0,13,-1.8403,-1.7836
61,repeat,0,4,52,28,3,5,6,0.0968,2,4,1.5,,1,0,10,-2.0646,-1.092
62,repeat,0,5,48,12,7,3,12,0.3684,3,6,1.5,,1,0,9,-0.8661,-1.5568
63,first,0,20,69,34,12,5,5,0.2609,3,9,5.0,4.0,0,0,13,-0.539,-0.1666
64,first,1,13,45,10,9,2,11,0.4737,3,7,3.5,6.0,0,1,13,-0.6885,0.2313
65,first,0,19,67,34,9,4,6,0.2093,3,7,5.5,4.5,0,0,13,-0.7789,0.8684
66,repeat,0,8,25,4,4,1,4,0.5,3,7,3.5,4.0,0,0,13,-0.0451,-0.62
67,first,1,14,10,2,3,1,0,0.6,1,9,,4.5,0,0,13,0.1407,-0.1864
68,first,0,17,112,54,18,7,14,0.25,4,11,4.5,5.0,0,1,13,-0.7557,1.2819
69,first,0,7,32,3,5,2,4,0.625,4,7,7.0,8.5,0,1,13,1.0701,-0.2364
70,repeat,0,10,56,12,11,3,11,0.4783,4,9,3.5,8.0,0,1,13,-0.3516,-0.7974
71,first,0,9,73,25,13,5,11,0.3421,4,11,7.0,8.5,0,1,13,-0.2236,0.7486
72,repeat,0,2,21,4,2,1,4,0.3333,2,7,3.5,,1,0,13,-0.0566,-1.4244
73,repeat,0,6,47,8,10,3,12,0.5556,3,6,6.5,,1,0,8,0.3967,-0.2322
74,first,0,18,27,4,4,0,4,0.5,3,9,5.5,8.5,0,1,13,0.8297,-0.854
75,repeat,1,4,10,2,1,0,2,,1,5,,,1,0,10,-0.0873,-1.9977
76,first,0,10,64,22,8,4,12,0.2667,4,5,,3.5,0,0,13,-0.6704,-0.8508
77,repeat,0,6,53,12,9,4,8,0.4286,4,8,6.0,6.0,0,1,13,0.2898,-0.769
78,repeat,0,9,22,0,4,0,8,1.0,3,3,,,1,0,4,0.3589,-2.0249
79,first,0,15,36,0,6,4,9,1.0,4,11,9.0,7.5,0,1,13,2.021,0.8878
80,first,0,14,164,84,25,14,22,0.2294,4,10,4.0,3.0,0,0,13,-1.157,0.7274
81,first,1,13,35,4,7,3,11,0.6364,2,10,6.0,7.0,0,1,13,0.2875,0.8372
82,repeat,1,2,0,0,0,0,0,,0,1,,,1,0,9,-0.4816,-2.5527
83,first,0,17,8,1,2,0,1,,1,6,4.5,,1,0,13,0.4715,-1.2485
84,first,0,10,53,13,8,3,12,0.381,4,10,3.5,7.5,0,1,13,0.039,-0.7826
85,repeat,0,1,41,8,7,3,3,0.4667,4,11,5.5,7.0,0,1,13,0.7548,-1.2119
86,first,0,29,10,1,0,0,0,,2,5,5.5,5.5,0,1,13,-0.257,-0.1146
87,first,1,15,14,2,1,2,4,,1,5,7.0,6.5,0,1,13,0.0332,-0.5658
88,repeat,0,5,17,1,3,2,2,0.75,2,4,7.5,,1,0,8,1.0496,-1.3017
89,first,0,11,8,0,1,1,1,,1,1,,,1,0,8,-0.4006,-2.6334
90,repeat,0,5,0,0,0,0,0,,0,1,,,1,0,6,2.2894,-2.6734
91,repeat,0,8,74,44,5,5,1,0.102,4,5,,,1,0,7,-2.1333,-0.7784
92,repeat,1,3,8,1,2,1,0,,1,4,3.5,4.5,0,0,13,-0.9533,-1.9182
93,first,0,13,48,9,11,4,11,0.55,3,9,4.5,5.5,0,1,13,-0.3995,0.4009
94,first,1,30,0,0,0,0,0,,0,5,,4.5,0,0,13,0.2259,-1.058
95,first,0,11,29,8,5,2,4,0.3846,2,5,5.0,5.0,0,1,13,0.4133,-0.2886
96,first,1,10,10,2,2,1,0,0.5,1,7,2.5,4.0,0,0,13,-0.797,-1.6295
97,repeat,0,5,48,4,9,3,14,0.6923,4,11,6.5,7.0,0,1,13,1.1283,0.8621
98,first,0,17,26,2,2,1,7,0.5,3,7,7.5,7.0,0,1,13,1.8038,-1.1779
99,repeat,0,6,72,15,15,7,15,0.5,4,9,5.5,,1,0,13,-0.2329,-0.4681
100,first,0,15,47,5,9,5,9,0.6429,4,12,7.5,7.0,0,1,13,1.1133,1.285
101,first,0,22,55,19,10,4,10,0.3448,3,8,3.0,4.5,0,0,13,-0.6933,-0.1992
102,first,1,20,12,0,2,1,1,,2,11,9.5,8.5,0,1,13,1.7446,0.0818
103,repeat,0,5,45,10,7,3,11,0.4118,3,10,5.5,8.0,0,1,13,0.0328,-0.0293
104,repeat,0,3,81,45,10,3,9,0.1818,3,8,,4.0,0,0,13,-1.0128,0.2673
105,repeat,0,3,0,0,0,0,0,,0,1,,,1,0,7,-0.0985,-3.147
106,first,0,20,59,18,10,8,8,0.3571,3,3,3.0,,1,0,8,-1.0398,-0.6866
107,repeat,0,3,42,20,3,3,6,0.1304,2,4,0.5,0.0,0,0,13,-2.2942,-1.5268
108,repeat,1,3,12,3,2,0,2,0.4,1,9,1.5,2.5,0,0,13,-1.0441,-0.8415
109,first,1,12,0,0,0,0,0,,0,7,6.0,6.5,0,1,13,0.8165,-0.6878
110,repeat,0,0,7,3,0,0,0,,1,1,,,1,0,7,-0.9446,-1.937
111,first,0,5,40,5,7,3,5,0.5833,4,12,6.5,9.0,0,1,13,1.2732,1.0734
112,first,0,15,9,1,0,0,3,,1,3,,4.0,0,0,13,-0.1909,-2.6111
113,repeat,0,10,47,7,10,2,9,0.5882,4,5,,,1,0,5,-0.0472,-1.3861
114,repeat,1,8,62,40,7,3,4,0.1489,2,4,2.5,,1,0,8,-1.3449,0.032
115,repeat,0,7,70,26,14,4,9,0.35,4,12,5.0,5.5,0,1,13,-0.245,0.414
116,first,1,14,12,1,2,0,5,,1,7,6.0,,1,0,9,0.5565,-1.1436
117,repeat,0,3,20,5,2,3,1,0.2857,2,3,,,1,0,6,-1.2042,-1.7731
118,first,1,38,50,13,11,6,11,0.4583,2,6,4.0,,1,0,9,-0.375,0.695
119,first,0,14,42,8,7,3,9,0.4667,4,6,7.5,,1,0,9,1.2177,0.1947
120,first,0,13,60,19,10,3,13,0.3448,3,10,5.5,5.5,0,1,13,-0.3122,1.2159
121,repeat,0,6,6,0,2,0,0,,1,1,,,1,0,5,-0.8787,-2.615
122,repeat,1,11,15,4,3,2,1,0.4286,1,5,4.0,,1,0,13,-0.2626,-2.009
123,first,0,10,137,67,25,15,13,0.2717,4,9,2.5,6.0,0,1,13,-0.917,0.6279
124,first,1,9,6,0,2,1,0,,1,7,7.5,9.5,0,1,13,1.102,-0.6696
125,first,0,10,21,0,2,0,9,,2,5,,,1,0,7,0.74,0.2762
126,repeat,1,6,32,19,4,3,2,0.1739,1,9,4.5,3.5,0,0,13,-0.6316,-0.6162
127,first,0,13,21,0,4,1,7,1.0,2,4,7.0,8.0,0,1,13,1.0404,-1.7365
128,first,0,15,38,4,6,1,12,0.6,3,5,8.0,,1,0,9,0.2104,-0.6046
129,repeat,0,6,8,0,0,0,1,,2,10,,10.0,0,1,13,2.6214,-0.2745
130,first,1,15,64,28,10,5,8,0.2632,3,7,3.5,2.0,0,0,13,-1.0179,0.2446
131,repeat,0,5,23,8,2,3,0,0.2,2,3,0.0,,1,0,8,-2.0243,-2.3284
132,first,1,16,38,11,8,5,9,0.4211,1,10,6.0,5.5,0,1,13,0.0897,0.7208
133,first,0,16,207,161,11,8,9,0.064,4,7,0.5,3.0,0,0,13,-2.6472,0.5701
134,first,1,26,0,0,0,0,0,,0,6,2.5,0.0,0,0,13,-1.6124,-1.1706
135,first,0,14,23,1,3,1,8,0.75,2,5,,,1,0,8,1.2187,-1.82
136,first,0,15,57,5,12,5,17,0.7059,4,11,6.5,9.0,0,1,13,1.0082,0.9988
137,first,0,13,45,6,11,1,9,0.6471,4,10,5.0,8.0,0,1,13,0.366,1.7295
138,first,1,16,12,0,2,1,1,,2,2,,,1,0,5,0.961,-1.7609
139,first,0,19,61,21,11,3,8,0.3438,4,10,5.5,6.0,0,1,13,0.221,1.5164
140,first,0,14,60,9,15,5,12,0.625,4,12,7.0,6.5,0,1,13,0.7982,1.0426
141,first,1,24,14,3,3,1,2,0.5,1,10,6.5,4.5,0,0,13,0.2269,0.1659
142,first,0,20,15,2,4,1,3,0.6667,1,3,5.0,,1,0,10,-0.0774,-1.232
143,first,0,11,19,0,3,0,2,,3,6,9.0,,1,0,8,2.0033,0.529
144,first,0,14,38,9,9,1,5,0.5,3,9,5.0,3.5,0,0,13,-0.2019,-0.1863
145,first,0,14,21,8,1,2,0,0.1111,2,4,4.5,1.5,0,0,13,-1.0126,-1.5115
146,first,1,9,0,0,0,0,0,,0,3,6.0,,1,0,8,1.4527,-1.7551
147,first,1,11,18,5,2,1,5,0.2857,1,7,4.0,,1,0,8,-0.2121,-0.1969
148,first,0,25,8,0,3,0,0,,1,6,5.0,8.5,0,1,13,1.0144,-0.9509
149,first,1,24,39,9,11,3,5,0.55,3,10,6.0,8.5,0,1,13,0.3798,-0.1965
150,first,0,19,10,0,2,0,4,,1,4,,,1,0,7,1.7946,-0.3082
151,first,0,12,68,12,14,7,16,0.5385,4,11,6.5,6.0,0,1,13,0.3773,0.9296
152,first,0,26,85,22,16,6,21,0.4211,4,10,5.0,6.0,0,1,13,-0.3694,0.2628
153,first,1,12,20,3,1,0,7,0.25,2,5,,,1,0,8,-0.6543,-2.1848
154,first,0,15,56,19,11,5,6,0.3667,3,8,5.0,4.5,0,0,13,-0.6082,-0.4636
155,repeat,0,8,30,4,6,1,4,0.6,3,8,4.0,4.5,0,0,13,0.5376,-1.2397
156,first,0,15,47,11,11,3,8,0.5,3,7,4.5,6.5,0,1,13,0.0829,-0.217
157,first,1,10,78,17,18,9,15,0.5143,4,10,5.0,7.5,0,1,13,-0.0544,1.9318
158,first,0,9,25,2,5,1,5,0.7143,3,10,6.0,7.5,0,1,13,0.759,1.3382
159,first,0,14,40,1,11,4,6,0.9167,4,5,,,1,0,6,0.917,-0.294
160,repeat,0,6,10,0,0,0,2,,2,4,7.5,8.5,0,1,13,1.2034,-2.0746
161,first,0,16,12,4,0,0,3,0.0,1,7,5.0,,1,0,13,0.364,-0.7224
162,first,0,16,52,10,7,4,13,0.4118,4,8,6.5,6.0,0,1,13,0.3123,-0.1025
163,first,0,20,74,32,9,5,15,0.2195,3,8,4.5,5.0,0,1,13,-0.578,-0.2958
164,repeat,0,4,11,1,2,1,2,,1,1,5.5,,1,0,13,-0.5409,-1.9022
165,repeat,1,3,62,28,13,5,7,0.3171,2,5,,,1,0,7,-0.5426,-0.6584
166,first,0,16,84,24,13,10,17,0.3514,4,9,5.0,7.5,0,1,13,-0.094,-0.1622
167,first,0,20,34,6,6,2,6,0.5,3,10,7.0,8.0,0,1,13,0.9065,-0.7329
168,first,0,13,31,7,5,2,4,0.4167,3,3,,,1,0,4,0.1185,-1.4238
169,first,0,15,78,38,6,6,10,0.1364,4,7,1.5,3.5,0,0,13,-1.0895,-0.455
170,first,0,13,47,8,9,4,6,0.5294,4,11,8.0,7.5,0,1,13,0.7033,1.9549
171,first,0,17,62,16,12,5,9,0.4286,4,12,6.0,7.5,0,1,13,0.2612,-0.0133
172,first,1,16,31,4,6,4,5,0.6,3,4,,,1,0,6,-0.2716,-1.0807
173,repeat,1,7,0,0,0,0,0,,0,2,3.5,5.0,0,1,13,-0.7197,-1.667
174,repeat,0,5,26,3,4,5,4,0.5714,2,5,2.0,,1,0,8,-0.5511,-1.1011
175,first,0,23,69,19,15,7,11,0.4412,4,7,5.5,4.0,0,0,13,-0.6951,0.0517
176,first,0,18,113,52,18,9,15,0.2571,4,7,3.5,4.5,0,0,13,-0.6632,0.4316
177,repeat,0,2,5,2,0,0,0,,1,4,5.0,,1,0,13,0.3857,-2.2714
178,repeat,0,5,101,53,14,10,9,0.209,3,6,5.0,6.0,0,1,13,-1.1629,-0.5981
179,first,0,8,52,13,10,6,8,0.4348,3,5,5.5,4.5,0,0,13,-0.2281,-0.7128
180,first,1,22,13,2,3,1,3,0.6,1,6,4.0,4.0,0,0,13,-0.3787,-0.0144
181,first,1,7,89,41,14,11,9,0.2545,3,8,3.0,3.0,0,0,13,-1.0587,0.1647
182,first,0,12,154,115,9,6,4,0.0726,4,7,1.5,0.5,0,0,13,-2.4446,-0.2804
183,first,1,6,54,23,8,2,6,0.2581,3,8,4.0,4.5,0,0,13,-0.4086,-0.2009
184,first,0,21,69,6,16,7,20,0.7273,4,11,,7.0,0,1,13,0.4749,0.5057
185,first,0,9,149,90,15,13,13,0.1429,4,7,1.0,3.5,0,0,13,-1.7425,-0.1071
186,first,0,15,58,14,13,5,7,0.4815,4,11,4.5,7.5,0,1,13,-0.0293,1.2118
187,repeat,1,3,10,1,2,0,2,,1,4,3.0,,1,0,10,-0.5068,-2.0559
188,first,0,12,55,3,12,4,17,0.8,4,11,,7.0,0,1,13,0.4428,0.534
189,first,1,10,17,5,0,1,2,0.0,2,11,6.0,7.0,0,1,13,0.2784,0.5049
190,first,1,18,63,32,11,3,7,0.2558,2,8,4.0,3.0,0,0,13,-1.4138,1.0407
191,first,0,14,42,8,10,1,5,0.5556,4,9,5.5,5.5,0,1,13,0.4919,-0.3009
192,first,0,13,103,65,8,8,8,0.1096,3,8,2.0,,1,0,10,-1.817,-0.2413
193,first,1,16,22,12,2,3,1,0.1429,1,5,4.0,4.5,0,0,13,-1.1209,-0.688
194,first,0,13,82,21,18,11,14,0.4615,4,11,5.5,6.5,0,1,13,-0.2535,1.1792
195,first,1,18,0,0,0,0,0,,0,12,8.0,8.0,0,1,13,1.0429,0.6654
196,first,0,21,332,243,31,22,18,0.1131,4,6,,,1,0,6,-2.1768,1.5196
197,first,0,18,30,3,2,3,7,0.4,3,6,4.5,,1,0,13,-0.0901,-1.6762
198,repeat,1,12,29,5,3,2,6,0.375,3,9,4.0,8.0,0,1,13,-0.13,-1.4487
199,first,0,17,80,40,14,8,3,0.2593,3,9,3.0,3.0,0,0,13,-0.8516,0.1546
200,first,0,16,47,20,5,5,8,0.2,2,3,,,1,0,5,-0.8543,-1.0764
201,repeat,0,7,37,3,6,4,7,0.6667,4,7,,8.0,0,1,13,0.5536,-1.4024
202,repeat,0,4,21,0,3,0,9,,2,4,,,1,0,10,0.3728,-1.1791
203,first,0,18,19,1,2,0,2,,3,6,,6.5,0,1,13,1.4495,-1.5247
204,first,0,12,90,33,17,7,14,0.34,4,7,,6.0,0,1,13,-0.4774,0.8753
205,first,0,10,63,31,7,8,3,0.1842,3,6,3.0,,1,0,9,-0.917,-0.1132
206,first,0,19,30,0,6,0,6,1.0,4,11,9.5,9.0,0,1,13,1.8627,2.4045
207,repeat,0,4,64,15,12,4,14,0.4444,4,11,5.0,5.0,0,1,13,-0.003,0.1998
208,first,0,9,26,2,6,1,2,0.75,3,9,5.5,4.5,0,0,13,-0.0022,0.0396
209,repeat,0,4,35,6,5,2,7,0.4545,3,5,,,1,0,7,-0.1179,-1.0462
210,first,0,17,93,36,17,8,17,0.3208,3,10,4.5,2.0,0,0,13,-0.8186,0.8144
211,first,1,23,32,7,6,0,6,0.4615,3,11,7.5,10.0,0,1,13,0.8995,0.4217
212,first,0,14,150,81,18,12,21,0.1818,4,10,3.5,4.0,0,0,13,-1.0419,0.7903
213,first,0,18,84,27,11,6,23,0.2895,4,10,3.0,4.0,0,0,13,-0.7149,-0.2556
214,repeat,0,4,15,1,1,1,3,,2,5,5.0,,1,0,10,0.0777,-0.6853
215,first,0,16,56,9,11,5,16,0.55,3,10,6.0,6.0,0,1,13,-0.0214,-0.1416
216,first,1,31,0,0,0,0,0,,0,9,8.0,10.0,0,1,13,1.8852,-0.2711
217,first,0,27,72,41,7,7,7,0.1458,2,5,2.0,,1,0,13,-1.7574,-0.8275
218,first,0,8,34,2,4,2,7,0.6667,4,12,7.5,8.5,0,1,13,1.6237,2.2832
219,repeat,0,5,49,14,10,5,6,0.4167,3,9,,7.0,0,1,13,-0.0358,-0.9511
220,repeat,1,3,9,1,1,1,3,,1,5,5.0,,1,0,10,-0.1383,-1.4683
221,first,0,12,52,16,11,4,5,0.4074,4,10,4.5,7.0,0,1,13,0.0248,0.0714
222,repeat,1,3,0,0,0,0,0,,0,5,4.0,5.0,0,1,13,-0.8527,-0.3758
223,repeat,0,6,12,1,3,2,2,0.75,1,1,4.0,6.0,0,1,13,0.254,-2.1348
224,repeat,1,6,18,0,3,1,4,,2,6,6.5,6.0,0,1,13,0.7483,-0.3828
225,first,1,14,60,24,12,6,9,0.3333,2,8,4.5,4.5,0,0,13,-0.9037,1.6615
226,first,0,16,42,5,11,4,8,0.6875,3,9,6.0,7.0,0,1,13,0.3221,-0.5948
227,repeat,1,4,0,0,0,0,0,,0,1,,,1,0,4,-1.0342,-1.8644
228,first,1,26,31,6,5,1,5,0.4545,3,10,7.0,9.0,0,1,13,0.9008,0.5773
229,first,1,15,112,59,17,11,10,0.2237,3,8,1.0,2.0,0,0,13,-1.3238,0.5098
230,first,0,13,50,14,7,3,16,0.3333,2,6,5.5,4.5,0,0,13,-0.7342,-0.3258
231,first,0,10,17,0,0,1,1,,3,3,6.5,,1,0,8,1.5455,-1.7719
232,first,0,10,0,0,0,0,0,,0,3,,,1,0,13,0.5639,-1.8276
233,first,0,20,72,33,8,4,13,0.1951,3,3,,,1,0,3,-1.265,-0.4036
234,first,0,6,52,9,11,4,14,0.55,3,8,,,1,0,10,0.6588,-1.2183
235,repeat,0,5,38,18,3,1,5,0.1429,3,6,6.0,,1,0,13,-0.9743,-0.4273
236,first,0,13,45,1,9,5,12,0.9,4,10,5.0,7.0,0,1,13,0.9073,-0.1375
237,repeat,0,7,10,0,1,0,4,,1,4,3.5,6.5,0,1,13,0.7642,-2.0806
238,first,0,17,53,28,3,4,4,0.0968,3,5,1.5,,1,0,8,-1.5882,-1.5717
239,first,0,19,53,9,8,7,9,0.4706,4,11,4.5,,1,0,13,0.2178,-0.1174
240,first,0,15,41,4,11,2,10,0.7333,3,10,8.0,7.0,0,1,13,0.5744,1.4579
241,first,0,16,7,3,0,0,0,,1,2,,,1,0,7,-1.1056,-3.1528
242,first,0,14,72,15,15,4,18,0.5,4,11,5.0,8.0,0,1,13,-0.0715,1.6768
243,first,0,7,70,34,7,6,10,0.1707,3,6,3.5,4.5,0,0,13,-1.7427,-0.5117
244,repeat,0,2,11,0,1,0,0,,2,4,4.0,,1,0,8,0.9476,-1.5285
245,first,1,16,13,1,1,1,1,,2,9,6.0,7.0,0,1,13,1.1253,-0.2678
246,first,0,13,10,1,0,1,3,,1,4,4.0,5.0,0,1,13,-0.5798,-1.9136
247,first,0,14,73,48,4,3,4,0.0769,3,6,1.5,3.0,0,0,13,-2.0794,-0.6258
248,first,0,14,68,14,14,5,18,0.5,4,9,5.5,6.5,0,1,13,-0.4465,1.197
249,first,0,10,7,0,1,1,1,,1,4,,,1,0,13,-0.716,-2.7875
250,repeat,0,12,21,5,2,2,3,0.2857,2,3,5.5,6.5,0,1,13,0.2712,-1.7859
251,repeat,0,3,27,3,5,3,1,0.625,3,5,6.5,4.5,0,0,13,0.4723,-1.2818
252,first,0,14,82,33,14,12,9,0.2979,3,5,,,1,0,6,-1.2972,-0.3599
253,first,1,6,40,9,9,4,9,0.5,2,12,4.0,6.0,0,1,13,-0.7137,1.4088
254,repeat,1,7,9,3,0,1,0,,1,9,2.5,,1,0,13,-0.6128,-0.9226
255,first,0,9,41,12,8,5,7,0.4,2,5,4.5,,1,0,11,-0.1909,-0.228
256,first,0,13,46,8,7,2,10,0.4667,4,8,3.5,7.0,0,1,13,0.1067,-0.8801
257,repeat,0,3,0,0,0,0,0,,0,1,,,1,0,6,1.0465,-2.1229
258,first,0,12,8,0,1,1,2,,1,5,6.0,6.5,0,1,13,0.0367,-0.2105
259,first,0,6,15,2,1,1,2,,2,2,2.5,,1,0,8,-0.784,-2.6544
260,first,0,5,35,1,7,2,7,0.875,4,11,8.5,8.0,0,1,13,1.4833,0.3795
261,first,1,15,93,49,14,8,10,0.2222,3,11,3.0,4.0,0,0,13,-1.1004,2.0417
262,first,1,14,13,1,2,1,5,,1,2,,,1,0,6,0.9208,-0.8104
263,first,0,27,52,11,8,3,15,0.4211,3,10,6.0,8.0,0,1,13,0.4044,1.5455
264,first,0,17,10,0,0,0,1,,2,4,9.0,10.0,0,1,13,2.3704,-1.2724
265,first,0,7,26,0,6,2,4,1.0,3,10,8.0,8.0,0,1,13,1.4097,1.2312
266,first,0,4,180,98,25,13,25,0.2033,4,9,1.5,5.0,0,1,13,-1.1866,1.3746
267,first,1,26,0,0,0,0,0,,0,10,7.5,9.0,0,1,13,1.2459,0.6175
268,first,1,17,37,13,3,3,9,0.1875,2,8,3.5,5.0,0,1,13,-0.6069,-0.0556
269,first,1,10,33,2,8,3,7,0.8,3,10,5.5,6.0,0,1,13,0.3572,0.7513
270,first,0,12,29,3,7,1,5,0.7,3,8,,10.0,0,1,13,1.0265,-0.2758
271,repeat,0,4,12,1,2,0,1,,2,4,,,1,0,7,-0.4257,-0.9646
272,first,0,11,69,15,15,5,16,0.5,4,7,5.5,6.0,0,1,13,-0.1823,0.4058
273,first,0,21,69,28,10,3,13,0.2632,3,9,4.0,4.5,0,0,13,-0.3291,0.8642
274,first,0,19,44,5,13,2,5,0.7222,4,12,8.0,9.0,0,1,13,0.9208,1.9144
275,first,0,9,33,3,5,0,6,0.625,4,12,,,1,0,13,0.94,-1.0288
276,repeat,0,8,128,67,22,11,10,0.2472,4,10,4.0,5.5,0,1,13,-0.6592,1.5269
277,repeat,1,8,0,0,0,0,0,,0,7,4.5,8.5,0,1,13,0.4583,-0.1005
278,repeat,1,5,0,0,0,0,0,,0,0,,,1,0,7,-0.609,-2.9857
