id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
169,0,2,0,2,0,0,0,2,0,0,0,0,0
170,1,2,1,1,1,2,1,2,1,2,3,0,2
171,1,1,2,2,3,3,3,12,3,0,5,2,2
172,1,0,1,0,0,0,0,0,0,0,0,0,0
173,3,0,0,1,1,0,0,0,0,0,0,0,0
174,2,4,3,5,6,2,4,3,3,7,1,4,5
175,3,3,3,3,3,4,3,4,4,2,3,0,1
176,5,0,0,1,2,1,2,2,3,0,0,0,0
177,1,1,0,1,0,0,0,0,0,0,0,0,0
178,1,4,2,3,7,1,1,4,3,3,2,4,4
179,6,2,4,3,5,8,4,7,4,5,3,3,2
180,2,2,6,5,5,2,2,3,2,2,3,5,5
181,6,4,4,4,3,5,3,7,6,4,8,2,3
182,3,10,1,5,5,5,6,2,4,4,7,2,2
183,2,2,4,4,1,2,7,3,2,1,4,4,4
184,6,3,1,4,2,8,5,8,5,1,3,6,4
185,5,1,5,1,3,4,5,6,5,9,5,4,5
186,2,4,7,7,7,4,3,6,2,4,5,5,5
187,5,0,2,3,0,2,2,1,1,3,1,0,1
188,1,3,4,3,2,1,5,5,2,3,3,7,3
189,5,5,6,12,13,6,7,5,6,6,6,2,6
190,3,2,2,3,1,0,0,0,0,0,0,0,0
191,1,0,1,1,3,0,0,0,2,0,2,0,1
192,11,4,2,2,6,1,7,3,9,3,1,6,4
193,0,0,0,0,0,0,1,0,0,1,0,0,0
194,6,6,4,5,2,9,4,9,5,4,4,2,10
195,2,4,2,4,1,2,4,5,1,3,2,5,3
196,1,1,0,2,1,1,0,1,2,3,2,3,1
197,1,2,0,1,2,2,1,3,2,1,0,2,2
198,1,1,2,1,0,1,1,2,1,3,1,2,1
199,3,0,4,4,4,5,6,2,2,1,6,2,0
200,3,3,1,1,0,0,5,4,2,3,0,3,0
201,3,6,3,8,4,5,4,6,3,3,2,4,3
202,4,3,6,5,7,4,3,3,4,4,3,5,2
203,4,5,2,7,4,5,5,3,3,9,7,2,3
204,3,5,4,1,3,1,4,6,5,5,4,13,5
205,4,5,1,8,5,3,1,0,0,0,0,0,0
206,1,5,2,2,5,1,0,0,0,0,0,0,0
207,1,3,2,1,0,1,2,4,0,2,0,3,1
208,4,4,7,3,5,6,4,1,5,4,5,2,4
209,6,1,1,4,7,6,5,2,2,3,6,5,3
210,0,1,0,1,1,0,0,1,2,1,0,0,0
211,4,0,2,1,3,2,5,6,2,3,3,4,3
212,0,3,0,0,0,0,0,0,0,0,0,0,0
213,1,0,1,4,1,1,0,0,0,0,0,0,0
214,10,3,4,5,6,2,1,7,5,5,3,6,3
215,5,3,4,7,5,7,3,6,7,6,7,6,0
216,3,5,10,7,2,4,4,3,0,0,0,0,0
217,5,1,0,1,0,1,0,1,1,3,0,0,1
218,4,6,1,0,1,5,2,2,3,4,1,2,3
219,4,3,3,4,3,4,3,3,4,4,3,5,3
220,2,0,3,3,0,1,3,6,1,2,1,0,0
221,0,1,1,1,2,1,0,1,1,2,0,0,0
222,1,6,4,4,3,1,5,1,5,4,3,1,5
223,1,4,1,3,3,4,3,5,3,3,5,2,0
224,8,6,6,5,1,10,3,3,4,2,5,0,0
225,6,7,5,4,3,0,0,0,0,0,0,0,0
226,1,2,0,2,0,0,0,0,0,0,0,0,0
227,1,5,4,5,6,1,3,3,2,2,5,7,1
228,4,4,5,4,5,3,5,6,3,4,1,2,1
229,6,5,4,3,6,2,2,2,3,3,2,2,3
230,3,3,3,5,5,3,6,5,2,0,3,4,4
231,0,3,1,0,1,0,0,0,0,0,0,0,0
232,7,3,7,5,2,3,9,4,5,1,1,7,2
233,2,1,2,3,1,3,2,1,1,3,6,1,2
234,3,2,4,1,1,4,7,2,4,5,5,5,2
235,3,4,11,7,9,9,3,5,5,7,4,6,7
236,2,5,5,4,4,4,6,2,0,0,0,0,0
237,2,2,1,1,2,2,1,1,0,0,0,0,0
238,2,7,3,5,6,8,3,2,5,5,3,5,5
239,7,7,8,2,4,4,6,8,1,5,4,8,7
240,6,3,6,4,5,2,2,1,3,5,0,0,0
241,2,1,2,6,1,3,2,5,1,5,6,1,3
242,8,6,3,2,6,5,3,6,7,5,8,4,4
243,1,3,1,5,3,2,1,1,3,5,4,5,2
244,5,9,6,5,1,8,6,6,6,1,10,3,3
245,4,4,6,7,7,4,0,0,0,0,0,0,0
246,3,5,2,4,5,0,0,0,0,0,0,0,0
247,5,2,4,6,6,6,0,0,0,0,0,0,0
248,1,2,6,7,6,6,4,6,4,4,1,6,6
249,3,2,2,3,0,0,0,0,0,0,0,0,0
250,1,2,1,1,0,0,0,0,0,0,0,0,0
251,2,2,1,3,1,2,0,0,1,0,2,2,1
252,4,7,3,6,9,2,3,5,3,5,2,6,4
253,0,2,0,0,2,1,4,1,2,0,0,0,0
254,1,2,4,2,3,4,3,0,4,3,2,2,0
255,4,4,3,1,3,1,4,2,3,0,0,0,0
256,1,2,0,3,2,3,4,1,6,0,1,2,3
257,4,1,6,2,3,4,5,5,7,2,4,5,3
258,3,2,1,2,2,2,2,1,4,1,2,2,1
259,7,9,6,13,6,8,4,5,5,7,9,6,9
260,3,9,7,5,2,4,8,6,7,6,7,3,5
261,8,5,6,0,0,0,0,0,0,0,0,0,0
262,4,0,2,3,3,1,3,2,1,0,3,1,0
263,1,2,7,3,3,3,1,0,0,0,0,0,0
264,5,7,3,5,2,1,2,5,4,5,4,1,2
265,2,2,2,1,1,1,0,0,0,0,0,0,0
266,0,6,5,3,2,5,7,4,3,4,0,0,0
267,4,3,1,6,5,5,3,4,3,2,7,6,3
268,2,7,1,2,3,2,6,4,4,3,7,5,1
269,3,4,1,0,0,0,0,0,0,0,0,0,0
270,2,6,6,4,0,6,5,1,5,10,4,3,2
271,7,2,6,2,1,5,5,5,3,2,7,2,6
272,6,4,0,3,2,2,5,1,3,6,2,3,1
273,2,2,9,5,3,3,3,3,1,2,2,8,2
274,4,3,3,5,4,4,7,2,1,5,2,1,0
275,3,5,5,3,4,7,4,5,9,7,4,2,5
276,0,4,5,10,2,5,4,2,6,4,2,6,7
277,5,8,3,7,1,7,3,4,10,6,4,7,2
278,1,2,1,1,0,0,1,8,1,2,2,1,1
279,2,1,2,3,0,0,4,0,1,1,0,1,1
280,2,9,2,8,7,3,6,7,4,2,4,2,2
281,3,7,2,5,2,2,5,4,5,5,5,1,3
282,3,2,3,1,1,0,3,1,2,0,1,2,1
283,3,0,2,2,2,2,2,2,2,2,2,6,6
284,2,1,0,1,1,2,3,2,0,0,2,0,0
285,2,2,3,0,0,0,0,0,0,0,0,0,0
286,1,2,0,0,3,5,2,0,0,0,0,0,0
287,5,8,5,1,3,8,0,0,0,0,0,0,0
288,5,1,2,3,3,2,2,2,2,5,3,7,3
289,5,3,5,0,4,4,2,3,7,5,4,2,5
290,3,3,5,5,3,7,5,4,9,7,2,2,3
291,2,2,2,0,1,0,2,2,0,0,0,2,1
292,1,2,0,4,1,4,5,4,1,1,3,2,0
293,5,3,4,6,3,0,2,2,7,6,7,4,6
294,2,2,4,1,2,0,1,1,0,1,1,3,0
295,4,1,2,2,6,2,0,2,2,1,1,1,0
296,3,3,2,5,0,0,0,0,0,0,0,0,0
297,3,5,4,7,6,4,3,2,5,2,2,6,2
298,9,3,10,4,3,2,3,4,4,2,3,10,13
