id,repeat,work,logins_w4,logins_sem,nsub_w4,nE_trans_w4,pES_w4,EE,ES,SE,SS,labs_w4,labs_sem,midterm,last_week,noshow,exam,passed,theta,commit
42,1,1,6,9,12,8,0.0,8,0,0,0,1,5,,5,1,,0,-1.400389593852248,-1.159418482542169
43,0,1,9,34,30,21,0.14285714285714285,18,3,4,0,1,6,0.5,13,0,0.5,0,-2.1501740369782993,-0.7774286208110123
44,0,0,17,46,59,20,0.5,10,10,5,14,4,10,6.0,13,0,9.0,1,0.8145558057332232,0.36564771981824457
45,1,0,9,18,11,0,,0,0,0,6,1,2,7.5,8,1,,0,0.6071744805221659,-2.1813989817029684
46,0,0,11,28,28,14,0.5,7,7,0,4,2,6,5.0,13,0,6.5,1,-0.48356667961774397,-0.3393123060345187
47,0,0,11,49,38,14,0.42857142857142855,8,6,3,7,3,7,5.5,13,0,6.0,1,-0.06455870294882746,-1.1149219220779418
48,1,0,6,6,45,15,0.13333333333333333,13,2,4,12,3,3,,4,1,,0,-1.8760298209276525,-1.9648134561553898
49,1,0,3,4,30,14,0.42857142857142855,8,6,3,3,2,3,,6,1,,0,-0.7730188255808075,-1.2843938303836295
50,1,0,8,19,84,51,0.2549019607843137,38,13,7,7,4,7,3.0,9,1,,0,-1.1286944529180012,-0.43643776004165
51,0,0,18,59,89,42,0.35714285714285715,27,15,9,22,4,9,4.5,13,0,6.5,1,-0.6227474523383597,1.8381641028233155
52,1,1,2,13,58,38,0.05263157894736842,36,2,5,5,3,8,0.5,13,0,2.5,0,-1.8332393639146245,0.030578467549678967
53,0,0,8,33,36,16,0.25,12,4,2,6,3,8,3.5,13,0,3.5,0,-1.025032689597458,-0.5740215219310083
54,0,0,13,18,37,9,0.7777777777777778,2,7,3,12,3,4,,5,1,,0,-0.15183112985179675,-0.6420989179308791
55,0,0,10,23,28,11,0.2727272727272727,8,3,1,6,2,2,3.5,8,1,,0,-0.5415138589862183,-1.74239510098892
56,0,0,20,34,37,12,0.6666666666666666,4,8,2,8,4,6,,7,1,,0,-0.10891149987689859,-0.4255199609506487
57,1,0,7,14,31,15,0.13333333333333333,13,2,2,6,2,3,1.0,13,0,1.5,0,-1.474773815249418,-2.073908699000881
58,0,0,14,38,39,15,0.6666666666666666,5,10,5,4,3,10,4.0,13,0,6.5,1,0.3840327046524127,-0.31103016116666055
59,0,0,21,55,49,20,0.4,12,8,4,9,4,11,6.0,13,0,9.0,1,0.22103201472003933,0.5090346807866901
60,0,0,13,39,82,43,0.3488372093023256,28,15,6,18,3,9,5.0,13,0,5.0,1,-1.038278885181226,0.2198702907670518
61,0,0,9,32,64,24,0.4583333333333333,13,11,7,16,4,10,4.5,13,0,5.5,1,-0.316958856139701,0.39171229840366095
62,1,0,6,19,18,2,,2,0,1,6,2,7,5.0,13,0,7.5,1,0.666142654390764,-1.273277257357508
63,0,0,17,44,14,5,0.6,2,3,1,3,1,4,4.0,8,1,,0,0.27655763669442407,-0.9528444654325796
64,0,1,10,37,0,0,,0,0,0,0,0,10,2.0,13,0,3.0,0,-1.6395286742060562,-0.3028882435993502
65,1,0,4,11,82,53,0.11320754716981132,47,6,5,11,3,7,3.0,9,1,,0,-1.8536106938064874,-0.45538480994752273
66,0,0,12,43,72,31,0.5161290322580645,15,16,9,12,4,8,6.0,13,0,7.0,1,0.24085362170859362,0.48643385663258437
67,0,0,14,39,59,26,0.34615384615384615,17,9,3,17,3,8,6.5,13,0,6.5,1,0.14372530545699397,0.34717778677446054
68,0,1,7,31,14,3,,2,1,0,1,2,7,5.5,13,0,9.0,1,0.9088798426800064,0.20565973392499826
69,1,0,0,5,50,15,0.4666666666666667,8,7,5,13,4,9,5.0,13,0,2.5,0,-0.11869359854456735,-1.0687911984268734
70,1,0,4,22,86,42,0.3333333333333333,28,14,4,21,4,10,3.5,13,0,3.5,0,-0.4633756766299109,0.6223427275575037
71,0,0,17,35,112,57,0.3157894736842105,39,18,8,28,4,10,4.5,10,1,,0,-0.6937310258693473,0.06675262217036856
72,1,0,4,20,15,5,0.2,4,1,1,4,1,2,3.0,13,1,,0,-1.0677399704508024,-2.278187835666804
73,0,0,19,54,161,126,0.15079365079365079,107,19,10,11,3,9,4.5,13,0,5.5,1,-1.6196216080936396,1.6473634779441675
74,0,0,13,43,27,8,0.5,4,4,2,3,3,8,6.5,13,1,,0,0.7105295062252638,-1.3597110815544486
75,0,0,19,50,200,144,0.1597222222222222,121,23,11,26,4,9,3.0,13,0,3.5,0,-1.48646794719945,1.4850264725755316
76,0,0,3,23,99,51,0.27450980392156865,37,14,5,23,4,10,4.0,13,0,4.5,0,-0.9003213300281919,0.5576627385503125
77,0,1,12,19,14,2,,0,2,1,6,1,2,,6,1,,0,0.5129998196849436,-1.6519693151126627
78,0,1,12,51,55,43,0.06976744186046512,40,3,3,4,1,8,1.5,13,0,0.5,0,-2.004608165617594,0.20968562141880617
79,0,0,18,49,91,50,0.38,31,19,12,13,4,10,4.5,13,0,3.0,0,-0.5941059630115035,0.6991885714518071
80,0,0,4,22,121,76,0.27631578947368424,55,21,12,14,4,8,2.0,13,0,4.5,0,-0.9784597489889542,0.42384263843000214
81,0,0,12,36,119,77,0.22077922077922077,60,17,11,12,4,8,3.0,13,0,2.5,0,-0.5813987010814078,-0.5980838118846793
82,1,0,5,10,65,44,0.1590909090909091,37,7,5,6,2,5,3.0,10,1,,0,-1.5439031180284748,-1.1499307898568267
83,1,0,2,8,59,26,0.5,13,13,5,8,4,8,3.0,10,1,,0,-0.12246720575874076,-0.29821026164686804
84,0,0,11,44,81,32,0.375,20,12,8,22,4,8,5.5,13,0,5.0,1,-0.5723047084505988,0.0748603596457394
85,1,1,10,20,18,11,0.2727272727272727,8,3,2,1,1,7,3.0,13,1,,0,-0.7595721226570655,-1.6432157570286199
86,1,1,10,23,18,9,0.4444444444444444,5,4,3,2,1,8,4.5,10,1,,0,-1.2106729064781376,0.07387482735754469
87,1,0,4,18,61,43,0.13953488372093023,37,6,3,2,3,6,1.5,13,0,2.5,0,-1.5308184332719377,-0.7784835098727018
88,0,1,10,43,45,24,0.25,18,6,2,9,2,9,4.0,13,0,6.0,1,-0.7312619855497294,0.9982117022605179
89,1,0,4,9,35,15,0.6,6,9,4,6,2,4,5.0,13,0,5.0,1,-0.34113500433171096,-1.1872365018813926
90,0,1,10,18,33,15,0.3333333333333333,10,5,0,9,2,5,,5,1,,0,0.336994637858949,-0.07665816415607492
91,0,1,20,63,0,0,,0,0,0,0,0,2,1.5,13,0,3.0,0,-1.7432284373923976,-1.1333920695180142
92,1,0,10,26,113,68,0.22058823529411764,53,15,12,13,4,7,5.0,11,1,,0,-1.0044263955900057,0.10995377019170083
93,0,0,10,31,181,148,0.060810810810810814,139,9,8,5,4,7,2.0,13,0,2.0,0,-2.4783274514716602,0.5522303763041119
94,0,1,21,72,33,13,0.38461538461538464,8,5,3,12,1,11,5.0,13,0,5.0,1,-0.5929231938973215,0.5934482599905596
95,0,0,7,32,74,42,0.30952380952380953,29,13,7,10,3,6,,13,0,4.0,0,-0.3876098091008167,-0.9281277134562281
96,0,0,16,54,49,27,0.3333333333333333,18,9,6,5,3,7,4.0,13,0,7.0,1,-0.4932415975043428,0.09297190819846
97,0,0,13,50,59,25,0.44,14,11,3,13,4,10,6.0,13,0,6.0,1,0.09345432010903112,2.423639356226666
98,1,1,5,14,21,11,0.2727272727272727,8,3,2,3,1,4,3.0,13,0,3.0,0,-0.7788769836950131,-1.4359962764495895
99,0,0,12,44,39,16,0.4375,9,7,5,8,2,6,4.5,13,0,6.0,1,-0.24113469253403366,-1.389036508212793
100,1,0,7,15,34,7,0.8571428571428571,1,6,1,8,4,9,8.0,13,0,9.5,1,1.4280004449467236,-0.1886974542090576
101,1,0,6,22,17,4,0.75,1,3,1,4,2,5,3.0,13,0,4.5,0,0.10519007912699196,-1.9238709338646958
102,0,1,7,28,26,12,0.3333333333333333,8,4,1,4,2,7,5.0,13,0,7.0,1,0.37597781246477424,0.18726952737034414
103,0,0,10,37,51,27,0.2962962962962963,19,8,3,7,3,9,5.5,13,0,7.0,1,-0.19693179500353383,0.19483936008497357
104,0,0,17,23,0,0,,0,0,0,0,0,0,,6,1,,0,-0.08088611684493172,-2.4695486378749156
105,0,0,18,72,45,17,0.5294117647058824,8,9,1,13,3,9,5.0,13,1,,0,-0.04579707111676244,-0.1942286843069853
106,0,1,14,44,135,95,0.21052631578947367,75,20,13,12,3,10,3.5,13,0,2.5,0,-1.1336996018235332,1.4693214900868212
107,0,0,10,22,56,26,0.38461538461538464,16,10,2,15,3,7,4.5,13,0,3.5,0,-0.7725919433056345,-0.13216133630240953
108,0,1,17,58,0,0,,0,0,0,0,0,9,6.0,13,0,5.5,1,-0.023960121076525325,0.31647691022014907
109,0,0,9,37,27,8,0.625,3,5,1,6,3,9,4.5,13,0,7.0,1,-0.06606659410098718,0.35445069762658704
110,0,0,17,61,32,3,,0,3,1,11,4,10,8.5,13,0,8.0,1,1.6532760033735399,1.1254519774233607
111,1,0,7,16,0,0,,0,0,0,0,0,1,,9,1,,0,0.5951163804934771,-2.890149381995447
112,0,0,16,41,20,1,,0,1,1,3,3,10,8.0,13,1,,0,1.782461268042607,1.1500797376384972
113,0,0,17,52,45,15,0.4666666666666667,8,7,4,12,3,10,,13,1,,0,0.3137285838008164,-0.23713539421717159
114,1,0,5,20,0,0,,0,0,0,0,0,1,,13,0,5.5,1,-0.41814593081290513,-1.9737616996587115
115,0,0,12,36,22,1,,0,1,0,7,3,7,8.0,13,0,9.0,1,1.9036698179472435,-0.012348228333206536
116,0,0,10,29,53,20,0.5,10,10,3,11,4,10,4.5,13,0,6.0,1,-0.004884947102677673,0.21855831854827126
117,1,1,10,42,15,2,,0,2,0,4,2,5,6.0,13,0,6.0,1,0.39441470559100283,-1.3038429591613567
118,1,0,10,19,32,9,0.6666666666666666,3,6,1,7,3,10,5.5,13,0,6.5,1,0.20428133583544256,0.5309803975798446
119,0,1,21,54,10,3,,1,2,0,3,1,11,7.0,13,0,8.5,1,0.806944367218708,0.35858648057047754
120,0,0,17,50,12,4,0.75,1,3,3,1,1,5,,13,0,6.5,1,0.28846412279149347,-0.7953086105138598
121,0,1,13,49,48,29,0.2413793103448276,22,7,5,6,2,7,3.5,13,0,6.5,1,-0.6778494625601188,-0.21363659088968795
122,0,0,8,31,98,62,0.27419354838709675,45,17,11,9,4,8,1.5,13,0,2.5,0,-1.494390307483361,0.2491479884118007
123,0,0,23,65,48,31,0.12903225806451613,27,4,5,2,2,4,0.0,13,1,,0,-2.250855619609023,-0.8029684261822793
124,0,0,17,50,19,5,1.0,0,5,0,5,2,8,6.5,13,0,8.0,1,0.7895854524627776,-0.31539547401562806
125,0,1,17,17,9,4,0.75,1,3,1,0,1,1,,4,1,,0,-0.5906413239317754,-0.5199205155004796
126,0,0,14,50,29,9,0.7777777777777778,2,7,3,8,2,5,4.5,12,1,,0,-0.4387472506748545,-1.4055606033971089
127,0,0,30,85,56,20,0.75,5,15,6,10,4,11,5.5,13,0,8.0,1,0.636922500943541,0.05399071104486726
128,0,0,25,76,74,31,0.45161290322580644,17,14,6,23,3,7,3.5,13,0,6.5,1,-0.2619514540356311,0.8766538594935789
129,0,1,6,31,92,52,0.34615384615384615,34,18,11,15,3,11,4.0,13,0,6.5,1,-0.871691365690053,1.1209759050714805
130,1,0,8,22,38,19,0.5263157894736842,9,10,3,3,3,7,2.5,13,0,5.5,1,-0.5689301603664443,-0.6366008892949296
131,0,0,21,65,197,141,0.14184397163120568,121,20,17,20,4,8,2.0,13,0,3.0,0,-1.4084643483304027,0.16302911229787193
132,1,1,5,15,37,16,0.4375,9,7,4,8,2,11,3.0,13,0,5.0,1,-1.1059515497627863,-0.3153830955615754
133,1,0,9,17,19,3,,0,3,2,3,3,5,2.5,13,0,4.0,0,-0.8306917774510614,-0.8823228096296529
134,0,0,9,45,140,89,0.1797752808988764,73,16,12,19,4,10,2.5,13,0,4.5,0,-1.0862032583735977,-0.18084646619048284
135,0,0,15,51,56,22,0.4090909090909091,13,9,6,10,4,8,2.5,11,1,,0,-0.575252402736691,-0.7657554152891639
136,0,0,11,36,21,10,0.3,7,3,1,1,2,4,1.5,13,0,2.5,0,-1.518456808139239,-0.8299117152090406
137,0,0,16,50,70,30,0.5666666666666667,13,17,9,12,4,10,5.5,13,0,7.5,1,0.17741722595254958,0.05857777855073356
138,0,0,9,38,118,75,0.32,51,24,11,13,4,10,4.0,13,0,7.0,1,-0.4674008113065178,1.8459872413774827
139,0,0,14,52,15,6,0.3333333333333333,4,2,1,4,1,9,7.5,13,0,7.0,1,1.013945910002533,-0.33673884130431087
140,0,0,13,13,9,1,,0,1,0,1,2,2,,4,1,,0,1.549203456877733,-1.3206570391609793
141,0,1,28,59,7,0,,0,0,0,2,1,10,6.5,13,0,10.0,1,2.6829743614744337,0.5293541010602366
142,1,0,3,13,14,3,,2,1,2,4,1,2,3.0,13,1,,0,-0.35897972806678036,-2.5376643892210087
143,0,0,11,37,45,8,0.75,2,6,2,16,4,11,10.0,13,0,8.0,1,1.1894284055546898,1.7352091961327463
144,0,0,26,57,0,0,,0,0,0,0,0,2,2.0,13,0,3.0,0,-1.2145539663211935,-1.591944459939298
145,0,0,13,39,22,4,0.75,1,3,0,4,3,8,9.5,13,0,8.0,1,1.9471082416212229,-0.6848571704110379
146,0,0,16,49,67,29,0.5517241379310345,13,16,7,11,4,9,4.5,13,0,6.0,1,0.06315685980808466,0.7381050751657687
147,1,1,4,9,0,0,,0,0,0,0,0,4,,7,1,,0,-0.35537322532981785,-1.1387385306739717
148,1,0,7,22,50,21,0.47619047619047616,11,10,2,7,4,10,3.5,13,0,6.0,1,0.33092911340797576,-0.42555694111965103
149,0,0,12,45,22,6,0.5,3,3,1,8,2,6,3.5,13,0,5.5,1,-0.34638191782591515,-0.7942785433782596
150,0,0,12,32,122,83,0.24096385542168675,63,20,12,8,4,11,6.0,13,0,5.5,1,-0.6190456500772573,0.6173158446501068
151,0,0,16,20,27,9,0.6666666666666666,3,6,2,7,2,3,,6,1,,0,0.17832798312177875,-0.4902468690523876
152,1,0,11,17,16,5,0.8,1,4,0,2,2,6,6.5,9,1,,0,0.4660080230476144,-1.2373805233315156
153,0,0,9,41,29,5,1.0,0,5,0,5,4,10,8.5,13,0,9.5,1,1.1591645042300471,0.9807562578124029
154,1,0,5,10,25,4,1.0,0,4,1,5,3,5,,6,1,,0,1.7769801068810323,-0.6537918244656455
155,1,0,5,7,8,2,,2,0,0,1,1,2,,7,1,,0,-1.5121368809364133,-3.8613695678624342
156,0,0,9,39,69,32,0.40625,19,13,4,14,4,8,5.5,13,0,4.0,0,-0.49075379589203155,0.5575323274228384
157,1,0,10,21,6,0,,0,0,1,0,1,5,5.0,11,1,,0,1.2786029186804049,-1.9403072407319026
158,1,0,1,15,45,18,0.5555555555555556,8,10,1,7,4,7,7.0,13,0,8.0,1,0.922505291430286,0.07584691136803356
159,1,0,5,7,7,1,,1,0,0,1,1,3,,6,1,,0,-0.3417741700378882,-1.8936180469847217
160,1,1,3,13,11,2,,1,1,1,3,1,6,7.0,13,0,6.5,1,0.27560847007564787,-1.2023325692109366
161,0,0,17,45,11,4,0.5,2,2,0,2,1,6,6.5,13,0,9.0,1,1.4055124720031233,-1.6815020858711205
162,1,0,4,6,0,0,,0,0,0,0,0,0,,5,1,,0,0.4837571472632382,-3.1240221934641452
163,0,0,15,44,44,18,0.5,9,9,6,5,3,10,5.0,13,0,8.5,1,0.20321510491020922,-0.2504987083148122
164,0,1,12,53,0,0,,0,0,0,0,0,8,6.5,13,1,,0,1.3272654315264216,-0.8889684120442766
165,1,1,2,14,0,0,,0,0,0,0,0,4,3.0,13,1,,0,-0.05772725769543466,-1.1849653764145498
166,0,1,15,65,0,0,,0,0,0,0,0,10,,13,0,7.5,1,0.9628855099477858,0.5342741543560896
167,0,0,23,36,0,0,,0,0,0,0,0,1,,7,1,,0,0.09669016558380163,-1.3581220462570802
168,1,0,6,23,71,31,0.41935483870967744,18,13,9,11,4,9,5.0,13,0,5.5,1,-0.455113255979229,-0.6951555025870229
169,1,0,4,6,12,7,0.2857142857142857,5,2,0,0,1,5,4.0,9,1,,0,0.008776577307959221,-1.830191410934613
170,0,1,5,19,13,5,0.4,3,2,2,1,1,9,3.5,13,0,6.5,1,-0.20158955066770892,-0.6954087053918891
171,0,0,6,39,63,28,0.39285714285714285,17,11,3,14,4,10,4.5,13,0,8.0,1,0.0817112567494497,0.10050459045261807
172,1,0,2,2,24,9,0.2222222222222222,7,2,4,1,2,2,,5,1,,0,-1.2418306542631656,-2.4361147825597698
173,1,0,4,5,216,173,0.10982658959537572,154,19,17,6,4,5,,6,1,,0,-2.4987523696415486,-0.16138760580403844
174,0,0,14,49,28,7,0.7142857142857143,2,5,0,6,3,5,6.0,13,0,6.5,1,0.8893354882733153,-1.2640610420820575
175,0,0,12,36,15,2,,1,1,3,3,2,5,2.5,13,0,5.0,1,0.07026765887395094,-1.1638659888150398
176,1,1,6,16,9,3,,1,2,0,1,1,4,3.5,9,1,,0,-1.0877777901830916,-2.12163145527452
177,1,0,3,3,0,0,,0,0,0,0,0,0,,4,1,,0,0.3716284151117904,-3.6781486892778235
178,0,0,10,39,27,14,0.35714285714285715,9,5,3,0,2,6,3.0,13,0,4.5,0,-1.0123039176913269,-1.689407272157898
179,0,0,15,56,6,0,,0,0,0,1,1,5,4.0,13,0,5.5,1,-0.18446594591963536,-1.035165508821698
180,0,0,15,44,22,3,,0,3,0,1,4,10,10.0,13,0,10.0,1,2.852397735106303,1.8340802476534723
181,0,0,18,59,60,16,0.625,6,10,4,22,4,8,6.0,13,0,8.0,1,0.5221008506391147,0.20635975874879997
182,0,0,19,56,112,70,0.3,49,21,10,13,4,11,4.5,13,0,7.0,1,-0.3700916706544992,1.8178996086937702
183,0,0,12,40,47,17,0.35294117647058826,11,6,4,15,3,10,4.5,13,0,4.5,0,-0.5008658577804385,0.7874552831324011
184,0,0,14,56,16,0,,0,0,0,1,3,9,10.0,13,0,10.0,1,3.145771896820764,-0.34269750301228624
185,0,0,12,58,15,2,,0,2,0,3,2,8,,13,0,10.0,1,1.4885385459383487,-0.9418604672534321
186,0,0,20,61,66,28,0.35714285714285715,18,10,6,12,4,10,,13,0,5.0,1,0.25421820163597575,1.1314307828394854
187,1,0,10,21,29,5,0.8,1,4,1,5,4,10,7.0,13,0,9.0,1,2.161989303939484,1.4619714328939228
188,0,0,11,42,74,35,0.34285714285714286,23,12,7,13,4,9,4.0,13,0,9.0,1,-0.06835594889549905,0.19419618477016246
189,0,0,28,85,44,14,0.5714285714285714,6,8,2,13,3,10,7.5,13,0,6.5,1,0.7640354837531956,0.6714394849944397
190,1,0,10,11,26,9,0.3333333333333333,6,3,2,5,2,3,,6,1,,0,-0.4058757728078771,-2.4722197555561296
191,1,0,3,11,183,136,0.1323529411764706,118,18,17,12,4,8,1.0,13,0,1.5,0,-1.8999377737908534,0.5719786807011333
192,0,0,19,59,48,15,0.5333333333333333,7,8,4,11,4,11,6.0,13,0,7.5,1,0.21679982664977507,0.706036409574322
193,1,0,0,2,30,14,0.2857142857142857,10,4,1,6,2,5,0.5,13,0,1.5,0,-1.733804098888708,-1.0405748636483363
194,0,0,21,70,39,10,0.7,3,7,3,7,4,10,6.5,13,0,8.5,1,1.3295174881043916,0.8317939945565698
195,0,0,12,38,61,29,0.41379310344827586,17,12,4,11,4,8,5.5,13,0,5.5,1,-0.20428839569393975,0.4642336038728058
196,1,0,4,18,40,14,0.5,7,7,1,9,4,10,5.5,13,0,7.0,1,0.4487754372452774,0.736910999738493
197,1,1,4,19,48,20,0.4,12,8,4,9,3,9,3.5,13,0,3.0,0,-0.7300334196786337,-0.40967926817779277
198,1,0,5,17,42,16,0.625,6,10,2,7,4,12,6.5,13,0,9.0,1,1.1135602025564408,1.6384550053928393
199,0,0,11,39,23,3,,0,3,0,5,3,7,7.5,13,0,8.5,1,1.6097891786379002,-0.9013720780916484
200,0,0,8,25,41,13,0.46153846153846156,7,6,1,13,3,7,4.0,13,0,7.0,1,0.1539298829081035,-0.6276166014458041
201,0,1,20,54,17,7,0.42857142857142855,4,3,1,5,1,6,5.5,13,0,5.0,1,-0.284858585741914,-0.4037826933537436
202,0,1,18,53,16,7,0.42857142857142855,4,3,2,4,1,6,3.5,13,0,3.5,0,-0.8762264334050496,-1.0724364256280527
203,0,1,18,59,37,13,0.5384615384615384,6,7,4,10,2,9,5.0,13,0,5.0,1,0.00030498951757664883,-0.2957343701770958
204,0,0,13,59,105,64,0.3125,44,20,11,14,4,8,4.0,13,0,4.0,0,-0.9397822044128996,1.4985859575389802
205,0,0,18,27,27,5,0.8,1,4,1,8,3,6,,7,1,,0,1.4869734709809412,-0.21649781527073064
206,0,0,10,16,35,13,0.46153846153846156,7,6,3,7,3,4,,6,1,,0,0.41596496874351646,0.35927497952861803
207,1,1,7,20,37,14,0.42857142857142855,8,6,5,8,2,3,4.5,13,0,6.0,1,-0.8694965679906363,-1.1687786775307925
208,0,0,18,54,60,33,0.30303030303030304,23,10,3,8,4,9,5.0,13,0,4.5,0,-0.48060285859172996,0.2100522400462647
209,0,0,12,51,31,6,0.5,3,3,0,7,4,11,5.5,13,0,4.5,0,0.1261710248905104,-0.5146783198626096
210,1,1,2,7,0,0,,0,0,0,0,0,0,5.5,10,1,,0,-0.9510759306849814,-2.967449351473661
211,0,0,7,38,116,64,0.265625,47,17,14,19,4,10,5.0,13,0,4.5,0,-0.6455624381900955,-0.2578338764603924
212,1,0,3,3,0,0,,0,0,0,0,0,0,,3,1,,0,0.10960300702404036,-2.4026478619173437
213,1,0,6,8,48,23,0.17391304347826086,19,4,6,5,3,5,4.5,8,1,,0,-0.5681952296955972,-1.507237916315623
214,0,0,22,60,38,10,0.7,3,7,4,4,4,11,8.5,13,0,8.0,1,1.1710827453734187,1.0858601810255186
215,0,0,19,66,39,24,0.16666666666666666,20,4,3,2,2,6,2.0,12,1,,0,-1.0626203335431028,-0.17429284934298703
216,0,0,25,38,13,0,,0,0,0,3,2,3,10.0,8,1,,0,2.794302817012509,-1.112434073577471
217,1,1,7,14,0,0,,0,0,0,0,0,9,4.0,13,0,4.0,0,-0.8611608263785708,0.010500277927305346
218,0,1,11,34,39,16,0.375,10,6,0,8,3,12,5.0,13,0,7.5,1,0.7771091852352279,0.850982566875632
