id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13
76,2,3,3,2,4,5,1,3,4,3,3,4,2
77,2,2,2,0,0,2,5,1,1,0,0,2,3
78,3,2,2,2,0,0,0,0,0,0,0,0,0
79,2,4,5,4,3,4,4,1,4,3,3,4,1
80,3,5,1,5,7,6,7,8,3,3,4,4,4
81,3,3,5,2,1,2,3,2,1,3,2,1,0
82,0,1,1,0,0,0,2,0,1,0,0,0,0
83,3,4,1,9,9,4,2,7,5,5,3,4,7
84,1,1,5,3,4,5,2,0,1,3,3,4,4
85,0,0,1,0,0,0,1,2,3,2,4,1,0
86,11,3,8,7,4,3,7,5,4,3,6,6,4
87,4,5,3,3,4,3,2,0,4,4,2,1,3
88,3,1,1,0,2,1,0,0,0,0,0,0,0
89,2,2,4,3,3,3,4,5,0,0,0,0,0
90,0,5,0,0,0,1,0,0,0,0,0,0,0
91,1,2,2,3,0,2,1,0,0,0,0,0,0
92,0,1,2,0,3,0,1,1,1,1,2,1,4
93,2,1,4,6,8,1,3,5,2,1,4,5,2
94,6,9,9,6,9,4,0,7,6,1,5,3,4
95,5,4,1,1,1,3,4,3,2,3,1,2,1
96,3,3,3,1,3,4,4,2,2,3,2,3,1
97,4,0,0,1,0,1,2,1,1,1,0,0,1
98,6,2,4,5,8,2,5,2,5,7,7,4,6
99,1,1,4,0,0,1,0,1,0,1,0,2,1
100,3,1,6,5,2,4,6,4,1,4,1,3,3
101,6,8,5,3,6,6,2,1,3,1,2,3,1
102,7,5,1,7,5,5,1,3,2,3,5,4,6
103,2,1,0,2,1,2,0,3,0,0,6,3,3
104,0,0,2,1,2,0,2,3,0,0,1,1,0
105,1,0,0,2,2,0,0,0,0,0,0,0,0
106,8,4,3,5,5,4,5,5,0,0,0,0,0
107,1,1,0,1,2,0,1,0,2,2,0,1,0
108,0,1,2,0,0,1,1,3,1,3,2,0,0
109,6,1,4,1,6,2,2,2,5,4,3,2,4
110,0,0,0,0,0,0,1,0,0,0,0,0,0
111,0,1,3,1,1,2,1,2,3,3,0,0,3
112,1,7,3,4,2,5,5,1,3,6,3,2,5
113,4,1,2,3,0,0,0,0,0,0,0,0,0
114,1,1,1,5,0,3,1,1,0,0,0,0,0
115,0,1,2,4,0,0,0,2,1,2,2,0,0
116,3,4,4,3,2,3,9,1,5,0,0,0,0
117,1,0,1,1,4,0,0,0,0,0,0,0,0
118,13,11,6,8,6,6,9,9,5,0,0,0,0
119,3,2,2,7,3,6,4,3,9,0,0,0,0
120,1,4,3,5,1,4,1,2,2,5,2,1,2
121,1,2,1,2,0,0,0,0,0,0,0,0,0
122,3,2,2,4,0,1,2,4,2,3,1,0,4
123,2,2,4,2,2,1,1,2,2,1,2,3,5
124,2,2,3,2,5,4,2,1,4,2,2,3,2
125,1,4,3,2,3,3,4,0,0,0,0,0,0
126,1,0,3,2,1,1,2,1,1,3,1,4,1
127,3,3,5,2,1,2,1,2,1,3,4,3,5
128,6,1,4,4,7,3,1,2,3,0,0,0,0
129,0,1,3,2,4,1,1,2,4,2,0,0,1
130,3,3,7,2,3,4,6,1,7,1,0,2,5
131,0,2,1,2,0,1,1,1,0,0,0,0,0
132,3,5,4,4,0,0,3,3,2,3,4,4,4
133,7,6,3,0,4,1,1,3,8,1,3,3,3
134,3,10,7,6,3,4,7,5,6,4,4,7,5
135,2,4,4,4,5,2,1,3,0,0,0,0,0
136,5,3,3,4,7,4,3,4,2,3,2,7,3
137,2,3,6,2,3,4,4,0,4,1,1,1,1
138,4,5,2,5,3,0,0,0,0,0,0,0,0
139,8,3,3,5,1,6,3,4,4,3,7,6,3
140,4,2,2,6,6,3,3,4,6,7,5,8,3
141,7,3,8,6,9,4,6,4,10,5,10,4,4
142,5,5,6,4,5,7,5,7,1,11,0,0,0
143,3,4,2,2,4,4,3,4,0,0,0,0,0
144,4,4,2,4,12,4,6,3,8,6,3,3,5
145,3,4,5,2,5,1,3,1,0,6,3,5,3
146,1,2,3,3,1,2,3,1,0,0,0,0,0
147,1,3,3,4,9,4,6,5,0,0,0,0,0
148,7,12,3,3,2,6,0,5,1,4,6,1,2
149,7,6,6,5,6,9,3,3,3,2,1,6,4
150,2,6,7,4,7,3,4,0,0,0,0,0,0
151,1,6,3,2,1,5,8,5,2,7,4,4,4
152,8,7,5,6,4,6,5,6,4,10,4,4,5
153,4,5,1,2,2,7,3,6,0,0,0,0,0
154,5,1,4,5,5,3,1,5,7,2,2,3,4
155,1,1,3,3,1,1,1,2,1,1,1,1,2
156,3,4,6,2,1,0,4,0,1,3,0,1,2
157,3,2,1,4,5,4,3,1,10,3,3,2,7
158,3,1,2,3,1,6,5,1,3,5,1,2,3
159,4,6,1,3,4,5,0,0,0,0,0,0,0
160,2,1,2,1,1,2,2,1,1,2,1,2,1
161,3,2,4,7,3,4,4,4,5,5,5,8,4
162,4,4,2,6,4,6,5,9,4,6,5,6,6
163,6,5,5,4,4,4,5,2,4,2,4,4,3
164,0,3,1,0,0,1,0,1,2,1,1,2,2
165,1,0,0,2,1,1,0,0,0,0,0,0,0
166,4,7,3,2,4,4,9,5,5,3,6,4,5
167,4,5,7,4,8,5,10,6,4,4,3,2,3
168,6,1,2,4,0,0,0,0,0,0,0,0,0
169,6,2,3,4,4,5,6,3,2,5,7,3,2
170,3,4,4,2,3,3,3,1,8,3,3,3,6
171,5,2,4,6,3,3,4,5,2,5,10,1,4
172,4,4,5,3,5,1,0,0,0,0,0,0,0
173,2,1,3,1,0,1,0,3,2,3,1,1,2
174,1,2,0,2,0,1,0,2,0,0,0,0,0
175,6,4,8,5,2,4,2,6,4,5,7,3,1
176,4,5,6,3,2,5,3,5,2,2,4,3,4
177,0,1,1,0,0,2,0,3,1,2,1,0,0
178,2,0,1,2,3,1,1,4,2,3,0,2,2
179,3,3,2,0,2,3,1,4,3,3,3,3,2
180,4,7,6,5,7,5,1,5,2,3,1,4,10
181,4,1,2,0,2,4,3,1,2,3,7,5,3
182,2,2,3,5,2,7,1,2,3,5,8,8,6
183,3,2,0,1,0,5,1,0,2,5,2,1,3
184,5,5,7,4,4,3,6,4,4,9,5,4,8
185,1,3,1,4,2,3,3,1,2,6,2,0,3
186,2,7,1,5,5,0,3,4,5,2,4,5,3
187,1,1,0,1,0,2,1,0,0,5,0,0,0
188,2,1,5,4,3,3,2,3,1,4,2,4,2
189,5,2,1,2,3,5,0,3,4,2,2,3,1
190,4,2,3,9,4,6,6,6,7,4,1,4,3
191,3,5,4,2,6,7,4,3,3,4,5,1,3
192,3,5,3,2,3,4,3,6,7,2,0,0,0
193,3,4,3,6,5,6,3,5,4,8,4,4,3
194,2,1,4,6,3,1,3,2,5,2,3,4,7
195,5,2,6,5,7,5,5,7,7,3,9,4,0
196,1,3,11,6,4,4,0,0,0,0,0,0,0
197,3,1,7,7,3,1,7,4,1,3,2,1,1
198,4,4,1,3,2,2,2,5,0,0,2,2,1
199,1,5,3,8,2,2,3,3,6,1,3,5,3
200,6,3,4,3,7,0,0,0,0,0,0,0,0
201,2,1,3,1,0,1,1,5,1,1,1,1,1
202,0,2,0,2,5,0,1,3,2,1,0,0,0
203,4,5,4,5,2,5,6,2,8,7,2,6,5
204,4,2,5,1,3,1,3,4,1,1,2,0,0
205,2,1,3,4,3,3,1,2,2,0,0,0,0
206,6,5,4,4,8,4,3,9,1,3,5,3,3
207,0,2,1,1,0,1,3,1,4,0,2,2,0
208,0,1,3,5,0,5,7,1,3,4,4,2,0
209,0,1,2,1,2,4,1,0,0,0,0,0,0
210,4,9,0,4,6,2,5,4,4,6,3,4,5
211,4,5,8,6,5,9,4,3,3,7,4,8,4
212,3,4,4,3,1,6,3,4,6,3,6,3,3
213,2,5,6,5,3,3,3,4,3,4,7,0,2
214,1,2,0,1,2,4,0,3,1,0,0,0,0
215,6,4,5,1,6,7,2,7,3,3,6,6,1
216,6,10,9,6,1,6,2,6,4,2,1,6,6
217,10,8,4,5,8,3,6,4,4,2,3,2,2
218,2,0,3,3,4,5,2,4,1,5,5,5,3
219,2,1,1,1,2,1,2,0,1,0,0,1,0
220,1,1,1,0,1,0,3,0,1,1,0,0,0
221,2,1,6,3,7,7,3,3,1,1,2,2,6
222,1,2,0,0,1,1,1,0,1,0,0,0,0
223,2,1,2,1,0,2,1,1,1,1,3,1,1
224,0,0,3,3,2,2,2,1,2,1,6,0,3
225,5,3,1,5,7,7,6,3,2,6,7,4,6
226,3,5,1,7,4,2,8,4,6,8,6,2,3
227,2,0,1,1,0,0,0,0,0,0,0,0,0
228,11,6,4,5,9,4,0,3,7,1,4,4,3
229,5,2,4,4,6,4,4,3,6,6,5,5,2
230,3,4,3,3,2,1,1,6,1,2,3,4,7
231,4,3,0,3,5,1,2,7,0,0,0,0,0
232,1,4,1,4,4,3,1,6,4,6,3,5,2
233,5,10,5,0,0,0,0,0,0,0,0,0,0
234,0,3,2,1,2,3,2,2,2,2,0,0,0
235,0,1,4,0,3,1,1,0,1,0,1,1,0
236,1,3,5,4,5,5,4,7,7,7,9,5,5
237,2,2,0,3,0,3,0,0,4,1,2,1,1
238,3,5,4,5,2,3,0,3,0,0,0,0,0
239,6,6,3,4,4,2,2,3,6,4,6,2,8
240,2,5,4,4,4,2,5,4,4,4,5,5,4
241,2,5,6,3,5,5,5,0,0,0,0,0,0
242,2,7,1,4,1,11,4,2,2,3,1,4,2
243,2,2,2,1,1,1,2,2,1,4,2,2,2
244,0,0,1,1,1,1,0,0,0,0,0,0,0
245,2,8,0,6,1,3,3,1,3,1,4,8,6
246,3,1,4,5,3,3,1,4,4,3,6,6,9
247,4,4,0,6,3,2,3,7,3,3,3,2,5
248,2,3,4,5,7,3,11,6,2,6,2,8,4
249,2,2,4,2,2,0,2,2,2,4,0,2,2
250,5,1,3,3,0,1,3,1,3,0,0,2,5
251,0,1,0,2,1,1,1,0,1,2,1,1,2
252,3,2,6,3,2,2,0,0,0,0,0,0,0
253,1,1,2,2,2,7,1,3,5,2,1,3,2
254,2,2,0,3,2,7,2,2,4,3,4,1,1
255,4,1,4,0,2,2,3,3,3,1,4,0,0
256,4,3,5,1,8,5,2,5,3,3,0,2,3
257,0,1,0,2,2,0,0,0,0,0,0,0,0
258,3,3,3,3,4,3,4,5,2,4,2,3,6
259,0,3,2,1,2,1,3,0,0,0,0,0,0
260,1,3,1,0,2,3,1,2,2,0,3,3,6
261,5,3,4,3,1,3,2,3,2,5,1,2,3
262,3,0,5,6,5,1,0,0,0,0,0,0,0
263,5,7,3,12,10,4,3,9,2,3,8,3,7
264,3,7,4,3,3,3,4,8,4,2,2,2,10
265,0,4,3,0,2,3,0,9,1,3,7,1,8
266,0,2,1,1,3,1,1,0,0,1,3,2,2
267,4,6,9,7,5,1,2,3,4,3,6,6,4
268,3,8,1,5,6,3,4,2,4,5,5,7,7
269,4,3,3,0,4,4,3,3,5,1,1,2,3
270,4,4,3,1,5,7,5,3,4,4,8,1,4
271,1,2,0,1,1,2,2,0,0,0,0,0,0
272,0,1,3,7,2,6,1,2,5,6,1,3,2
273,4,5,7,5,9,2,2,3,4,3,5,5,8
274,3,2,5,9,7,8,7,4,7,5,4,9,5
275,2,1,2,4,6,6,4,1,5,6,6,6,2
276,3,2,3,0,1,3,1,2,0,2,2,2,2
277,1,1,2,4,1,1,0,1,0,1,2,1,2
278,2,1,2,0,2,1,2,0,0,0,0,0,0
279,7,2,7,2,3,5,7,5,0,0,0,0,0
280,3,2,1,1,4,1,2,3,3,2,1,1,3
281,0,1,2,1,0,1,0,0,2,3,2,3,0
282,6,9,6,4,3,7,2,3,4,8,4,4,7
283,2,3,1,0,2,0,1,4,3,3,2,3,2
284,4,7,2,3,2,2,5,4,3,3,2,3,3
285,0,1,0,0,1,1,4,2,0,0,0,0,0
286,8,0,5,2,6,7,6,7,4,3,7,3,4
287,6,5,4,4,6,5,1,3,4,4,2,5,3
288,1,2,4,1,1,1,3,0,0,0,1,0,0
289,1,5,8,3,1,3,2,3,0,0,0,0,0
290,3,2,2,2,5,1,6,3,5,0,7,5,2
291,1,1,1,1,2,2,1,2,1,0,0,0,0
292,1,4,1,4,1,6,3,2,3,2,7,4,1
293,2,2,4,2,1,2,0,0,1,1,1,0,0
294,0,0,0,3,3,0,0,1,0,0,1,0,1
295,4,4,0,0,0,0,0,0,0,0,0,0,0
296,1,1,0,0,1,1,1,1,2,1,2,2,0
297,3,1,2,3,6,4,4,8,4,1,3,5,1
298,2,0,2,0,0,1,4,2,3,1,1,0,0
299,2,9,2,1,4,2,1,3,2,2,4,5,8
300,3,3,2,1,3,4,2,6,5,5,4,0,1
301,3,4,6,6,3,9,5,9,5,3,1,1,4
302,3,3,2,3,3,3,7,3,5,3,6,4,4
303,4,6,5,3,6,10,3,4,9,1,7,9,9
304,2,9,5,2,4,9,4,8,4,3,5,8,7
305,1,5,1,1,1,1,1,1,1,2,1,1,1
306,5,4,0,8,2,4,3,4,2,5,3,3,2
307,2,3,1,1,3,2,2,1,0,0,0,0,0
308,2,3,1,0,0,0,1,4,1,1,0,0,0
309,3,0,2,0,1,0,2,2,4,4,1,1,1
310,1,0,0,0,0,2,2,2,2,1,0,0,2
311,3,4,4,7,4,3,4,7,6,5,3,1,4
312,2,5,4,9,2,4,9,4,3,9,3,6,3
