id,repeat,work,logins_w4,logins_sem,nsub_w4,nE_trans_w4,pES_w4,EE,ES,SE,SS,labs_w4,labs_sem,midterm,last_week,noshow,exam,passed,theta,commit
68,0,0,17,36,112,72,0.25,54,18,7,14,4,11,4.5,13,0,5.0,1,-0.7557207114534195,1.2819130994505537
69,0,0,7,32,32,8,0.625,3,5,2,4,4,7,7.0,13,0,8.5,1,1.0700989943719827,-0.2363642653512335
70,1,0,10,19,56,23,0.4782608695652174,12,11,3,11,4,9,3.5,13,0,8.0,1,-0.3516175754566472,-0.7974336738810488
71,0,0,9,57,73,38,0.34210526315789475,25,13,5,11,4,11,7.0,13,0,8.5,1,-0.22356211732125908,0.7485814964797145
72,1,0,2,12,21,6,0.3333333333333333,4,2,1,4,2,7,3.5,13,1,,0,-0.05664895581278048,-1.4243633116284493
73,1,0,6,11,47,18,0.5555555555555556,8,10,3,12,3,6,6.5,8,1,,0,0.3966652278564164,-0.23219847593702925
74,0,0,18,48,27,8,0.5,4,4,0,4,3,9,5.5,13,0,8.5,1,0.8297263328569094,-0.853968626598542
75,1,1,4,8,10,3,,2,1,0,2,1,5,,10,1,,0,-0.08730896378296399,-1.9976654653187855
76,0,0,10,39,64,30,0.26666666666666666,22,8,4,12,4,5,,13,0,3.5,0,-0.670364293537624,-0.8507599246485016
77,1,0,6,20,53,21,0.42857142857142855,12,9,4,8,4,8,6.0,13,0,6.0,1,0.2897514566379193,-0.7690321070353773
78,1,0,9,9,22,4,1.0,0,4,0,8,3,3,,4,1,,0,0.3588959712637883,-2.0248690134231286
79,0,0,15,42,36,6,1.0,0,6,4,9,4,11,9.0,13,0,7.5,1,2.021042080832225,0.8878429328070759
80,0,0,14,60,164,109,0.22935779816513763,84,25,14,22,4,10,4.0,13,0,3.0,0,-1.1569932277043524,0.7273624613137667
81,0,1,13,28,35,11,0.6363636363636364,4,7,3,11,2,10,6.0,13,0,7.0,1,0.2875078177155648,0.8371672458064436
82,1,1,2,5,0,0,,0,0,0,0,0,1,,9,1,,0,-0.48157936550493174,-2.552689111454345
83,0,0,17,63,8,3,,1,2,0,1,1,6,4.5,13,1,,0,0.4714581518022705,-1.2485142405280607
84,0,0,10,36,53,21,0.38095238095238093,13,8,3,12,4,10,3.5,13,0,7.5,1,0.03904624865485132,-0.7825659642211057
85,1,0,1,14,41,15,0.4666666666666667,8,7,3,3,4,11,5.5,13,0,7.0,1,0.7547909892593914,-1.2118566478919877
86,0,0,29,71,10,1,,1,0,0,0,2,5,5.5,13,0,5.5,1,-0.25696525033603224,-0.11464834347262463
87,0,1,15,38,14,3,,2,1,2,4,1,5,7.0,13,0,6.5,1,0.03321132147817677,-0.5658076083306812
88,1,0,5,8,17,4,0.75,1,3,2,2,2,4,7.5,8,1,,0,1.0495899948869742,-1.301742928170148
89,0,0,11,26,8,1,,0,1,1,1,1,1,,8,1,,0,-0.400557144743494,-2.633405168935945
90,1,0,5,6,0,0,,0,0,0,0,0,1,,6,1,,0,2.2893884927082695,-2.673437973442694
91,1,0,8,11,74,49,0.10204081632653061,44,5,5,1,4,5,,7,1,,0,-2.1332743170872734,-0.778381699299703
92,1,1,3,17,8,3,,1,2,1,0,1,4,3.5,13,0,4.5,0,-0.9532793060911016,-1.9182055906747517
93,0,0,13,44,48,20,0.55,9,11,4,11,3,9,4.5,13,0,5.5,1,-0.39954735153891174,0.4008833131743582
94,0,1,30,69,0,0,,0,0,0,0,0,5,,13,0,4.5,0,0.22594608600429886,-1.0580330383069056
95,0,0,11,31,29,13,0.38461538461538464,8,5,2,4,2,5,5.0,13,0,5.0,1,0.4133046861448904,-0.2885741878847316
96,0,1,10,34,10,4,0.5,2,2,1,0,1,7,2.5,13,0,4.0,0,-0.7970037201481318,-1.6295336801347697
97,1,0,5,12,48,13,0.6923076923076923,4,9,3,14,4,11,6.5,13,0,7.0,1,1.128250527058583,0.8620921217774529
98,0,0,17,63,26,4,0.5,2,2,1,7,3,7,7.5,13,0,7.0,1,1.80384175342718,-1.1779093342046483
99,1,0,6,12,72,30,0.5,15,15,7,15,4,9,5.5,13,1,,0,-0.2329220866007728,-0.46808057410796344
100,0,0,15,43,47,14,0.6428571428571429,5,9,5,9,4,12,7.5,13,0,7.0,1,1.1132575771437676,1.28496488236699
101,0,0,22,47,55,29,0.3448275862068966,19,10,4,10,3,8,3.0,13,0,4.5,0,-0.6932565430062295,-0.19923311435402785
102,0,1,20,54,12,2,,0,2,1,1,2,11,9.5,13,0,8.5,1,1.7445557254447919,0.08177296684430561
103,1,0,5,23,45,17,0.4117647058823529,10,7,3,11,3,10,5.5,13,0,8.0,1,0.03284166803007954,-0.029260804650443006
104,1,0,3,12,81,55,0.18181818181818182,45,10,3,9,3,8,,13,0,4.0,0,-1.0127503968287872,0.2673418913289376
105,1,0,3,5,0,0,,0,0,0,0,0,1,,7,1,,0,-0.09851740875990028,-3.146967165018687
106,0,0,20,39,59,28,0.35714285714285715,18,10,8,8,3,3,3.0,8,1,,0,-1.039830111772287,-0.6865611510695167
107,1,0,3,11,42,23,0.13043478260869565,20,3,3,6,2,4,0.5,13,0,0.0,0,-2.294159253940849,-1.52675196696057
108,1,1,3,14,12,5,0.4,3,2,0,2,1,9,1.5,13,0,2.5,0,-1.0441262548968941,-0.8414786848733908
109,0,1,12,42,0,0,,0,0,0,0,0,7,6.0,13,0,6.5,1,0.8164535572858244,-0.687821290764485
110,1,0,0,1,7,3,,3,0,0,0,1,1,,7,1,,0,-0.9445701902705061,-1.937015817522806
111,0,0,5,20,40,12,0.5833333333333334,5,7,3,5,4,12,6.5,13,0,9.0,1,1.2732491790257485,1.0733631167197981
112,0,0,15,47,9,1,,1,0,0,3,1,3,,13,0,4.0,0,-0.19085765381220218,-2.6110741431329574
113,1,0,10,10,47,17,0.5882352941176471,7,10,2,9,4,5,,5,1,,0,-0.04718275405621264,-1.3861357898714828
114,1,1,8,13,62,47,0.14893617021276595,40,7,3,4,2,4,2.5,8,1,,0,-1.34486099209248,0.03200658668133349
115,1,0,7,14,70,40,0.35,26,14,4,9,4,12,5.0,13,0,5.5,1,-0.24498128283895226,0.4140064897640867
116,0,1,14,34,12,3,,1,2,0,5,1,7,6.0,9,1,,0,0.5564504831911159,-1.1435516632861247
117,1,0,3,7,20,7,0.2857142857142857,5,2,3,1,2,3,,6,1,,0,-1.2041599917241064,-1.7731132662416118
118,0,1,38,73,50,24,0.4583333333333333,13,11,6,11,2,6,4.0,9,1,,0,-0.3750097624792698,0.6949850676429397
119,0,0,14,39,42,15,0.4666666666666667,8,7,3,9,4,6,7.5,9,1,,0,1.2177110379751022,0.19470052179133215
120,0,0,13,33,60,29,0.3448275862068966,19,10,3,13,3,10,5.5,13,0,5.5,1,-0.3122475256466913,1.2158916507491282
121,1,0,6,6,6,2,,0,2,0,0,1,1,,5,1,,0,-0.8787197072924782,-2.6149747395353895
122,1,1,11,28,15,7,0.42857142857142855,4,3,2,1,1,5,4.0,13,1,,0,-0.26259146699412506,-2.008991877950704
123,0,0,10,29,137,92,0.2717391304347826,67,25,15,13,4,9,2.5,13,0,6.0,1,-0.9170037132021118,0.6278701080013609
124,0,1,9,34,6,2,,0,2,1,0,1,7,7.5,13,0,9.5,1,1.1019793947064702,-0.6695572450079134
125,0,0,10,20,21,2,,0,2,0,9,2,5,,7,1,,0,0.7400134975315414,0.27615563697215506
126,1,1,6,21,32,23,0.17391304347826086,19,4,3,2,1,9,4.5,13,0,3.5,0,-0.6316325775494405,-0.6161740657822911
127,0,0,13,35,21,4,1.0,0,4,1,7,2,4,7.0,13,0,8.0,1,1.0404378996865535,-1.7365481071287105
128,0,0,15,31,38,10,0.6,4,6,1,12,3,5,8.0,9,1,,0,0.21036434762651013,-0.6046077498975663
129,1,0,6,21,8,0,,0,0,0,1,2,10,,13,0,10.0,1,2.6214215401844103,-0.2744669256731773
130,0,1,15,44,64,38,0.2631578947368421,28,10,5,8,3,7,3.5,13,0,2.0,0,-1.0178527097393877,0.24455333090111783
131,1,0,5,8,23,10,0.2,8,2,3,0,2,3,0.0,8,1,,0,-2.024250215878679,-2.3284030007132595
132,0,1,16,39,38,19,0.42105263157894735,11,8,5,9,1,10,6.0,13,0,5.5,1,0.08971018623158979,0.7208446471157532
133,0,0,16,43,207,172,0.06395348837209303,161,11,8,9,4,7,0.5,13,0,3.0,0,-2.647157144271072,0.5700678767227262
134,0,1,26,71,0,0,,0,0,0,0,0,6,2.5,13,0,0.0,0,-1.6124494698049587,-1.1705865023156432
135,0,0,14,25,23,4,0.75,1,3,1,8,2,5,,8,1,,0,1.2186964212488653,-1.8200281531265758
136,0,0,15,50,57,17,0.7058823529411765,5,12,5,17,4,11,6.5,13,0,9.0,1,1.0082301780853606,0.9988315999098923
137,0,0,13,32,45,17,0.6470588235294118,6,11,1,9,4,10,5.0,13,0,8.0,1,0.36596134475041986,1.7294502986566793
138,0,1,16,19,12,2,,0,2,1,1,2,2,,5,1,,0,0.9609941507294805,-1.7608846015559965
139,0,0,19,56,61,32,0.34375,21,11,3,8,4,10,5.5,13,0,6.0,1,0.2210470323762102,1.516402045001857
140,0,0,14,59,60,24,0.625,9,15,5,12,4,12,7.0,13,0,6.5,1,0.7982092223948123,1.0426460626470242
141,0,1,24,80,14,6,0.5,3,3,1,2,1,10,6.5,13,0,4.5,0,0.22694860292823038,0.165899933960819
142,0,0,20,56,15,6,0.6666666666666666,2,4,1,3,1,3,5.0,10,1,,0,-0.07740813738037423,-1.2319918122047713
143,0,0,11,26,19,3,,0,3,0,2,3,6,9.0,8,1,,0,2.003348710669013,0.5289553669346141
144,0,0,14,64,38,18,0.5,9,9,1,5,3,9,5.0,13,0,3.5,0,-0.20185807073264364,-0.1863049660162603
145,0,0,14,41,21,9,0.1111111111111111,8,1,2,0,2,4,4.5,13,0,1.5,0,-1.0126178286123784,-1.5115399753445866
146,0,1,9,16,0,0,,0,0,0,0,0,3,6.0,8,1,,0,1.4527092428657522,-1.7550623167787083
147,0,1,11,35,18,7,0.2857142857142857,5,2,1,5,1,7,4.0,8,1,,0,-0.21205247404743902,-0.1969491054257052
148,0,0,25,52,8,3,,0,3,0,0,1,6,5.0,13,0,8.5,1,1.014431611555741,-0.9509200915101621
149,0,1,24,61,39,20,0.55,9,11,3,5,3,10,6.0,13,0,8.5,1,0.37984262042671385,-0.19647868819544384
150,0,0,19,33,10,2,,0,2,0,4,1,4,,7,1,,0,1.7946450660431974,-0.30819930995946043
151,0,0,12,52,68,26,0.5384615384615384,12,14,7,16,4,11,6.5,13,0,6.0,1,0.37730530530734596,0.9295857048978869
152,0,0,26,74,85,38,0.42105263157894735,22,16,6,21,4,10,5.0,13,0,6.0,1,-0.3694170131924385,0.2628427368118912
153,0,1,12,30,20,4,0.25,3,1,0,7,2,5,,8,1,,0,-0.6542926402862141,-2.1847640807347752
154,0,0,15,47,56,30,0.36666666666666664,19,11,5,6,3,8,5.0,13,0,4.5,0,-0.6082152793093462,-0.4635763026706587
155,1,0,8,19,30,10,0.6,4,6,1,4,3,8,4.0,13,0,4.5,0,0.537622932963258,-1.239724022831181
156,0,0,15,27,47,22,0.5,11,11,3,8,3,7,4.5,13,0,6.5,1,0.08292920917564699,-0.21697690198125527
157,0,1,10,48,78,35,0.5142857142857142,17,18,9,15,4,10,5.0,13,0,7.5,1,-0.05440542346004161,1.9317871854250797
158,0,0,9,36,25,7,0.7142857142857143,2,5,1,5,3,10,6.0,13,0,7.5,1,0.7590172610739091,1.3381889012563135
159,0,0,14,23,40,12,0.9166666666666666,1,11,4,6,4,5,,6,1,,0,0.9170212270195519,-0.2940238594824902
160,1,0,6,19,10,0,,0,0,0,2,2,4,7.5,13,0,8.5,1,1.2034273196978627,-2.0746320494064943
161,0,0,16,58,12,4,0.0,4,0,0,3,1,7,5.0,13,1,,0,0.3639895389925791,-0.7224095444749952
162,0,0,16,67,52,17,0.4117647058823529,10,7,4,13,4,8,6.5,13,0,6.0,1,0.31230200617811926,-0.10248667640618013
163,0,0,20,52,74,41,0.21951219512195122,32,9,5,15,3,8,4.5,13,0,5.0,1,-0.578005810549953,-0.295812211363268
164,1,0,4,14,11,3,,1,2,1,2,1,1,5.5,13,1,,0,-0.5409223624838252,-1.9021533620727875
165,1,1,3,5,62,41,0.3170731707317073,28,13,5,7,2,5,,7,1,,0,-0.5426112170264418,-0.6583528177040034
166,0,0,16,61,84,37,0.35135135135135137,24,13,10,17,4,9,5.0,13,0,7.5,1,-0.0939957441353048,-0.16221750387346806
167,0,0,20,65,34,12,0.5,6,6,2,6,3,10,7.0,13,0,8.0,1,0.9065422860233833,-0.7329381949142659
168,0,0,13,13,31,12,0.4166666666666667,7,5,2,4,3,3,,4,1,,0,0.11854969515631789,-1.4238317960518634
169,0,0,15,52,78,44,0.13636363636363635,38,6,6,10,4,7,1.5,13,0,3.5,0,-1.0895336498112553,-0.4549770271645781
170,0,0,13,46,47,17,0.5294117647058824,8,9,4,6,4,11,8.0,13,0,7.5,1,0.7033067706598619,1.9548893275141848
171,0,0,17,54,62,28,0.42857142857142855,16,12,5,9,4,12,6.0,13,0,7.5,1,0.2611802361167496,-0.013255529275680897
172,0,1,16,22,31,10,0.6,4,6,4,5,3,4,,6,1,,0,-0.27157307290260413,-1.0807102068996515
173,1,1,7,20,0,0,,0,0,0,0,0,2,3.5,13,0,5.0,1,-0.7196865994011183,-1.6669939554979405
174,1,0,5,8,26,7,0.5714285714285714,3,4,5,4,2,5,2.0,8,1,,0,-0.5510767415990878,-1.1010793787493915
175,0,0,23,57,69,34,0.4411764705882353,19,15,7,11,4,7,5.5,13,0,4.0,0,-0.6951304043618334,0.05169257632334815
176,0,0,18,48,113,70,0.2571428571428571,52,18,9,15,4,7,3.5,13,0,4.5,0,-0.6632373331982955,0.4315653480895889
177,1,0,2,11,5,2,,2,0,0,0,1,4,5.0,13,1,,0,0.38566723841888,-2.2714348980547463
178,1,0,5,23,101,67,0.208955223880597,53,14,10,9,3,6,5.0,13,0,6.0,1,-1.1628959540599575,-0.5980911950296974
179,0,0,8,32,52,23,0.43478260869565216,13,10,6,8,3,5,5.5,13,0,4.5,0,-0.22805569081669239,-0.7128483197229167
180,0,1,22,60,13,5,0.6,2,3,1,3,1,6,4.0,13,0,4.0,0,-0.37872921337996135,-0.014370334566367786
181,0,1,7,37,89,55,0.2545454545454545,41,14,11,9,3,8,3.0,13,0,3.0,0,-1.0586725480063461,0.16468852130980705
182,0,0,12,54,154,124,0.07258064516129033,115,9,6,4,4,7,1.5,13,0,0.5,0,-2.444604785116075,-0.2804028806716577
183,0,1,6,25,54,31,0.25806451612903225,23,8,2,6,3,8,4.0,13,0,4.5,0,-0.40860980546384895,-0.20089875710469735
184,0,0,21,68,69,22,0.7272727272727273,6,16,7,20,4,11,,13,0,7.0,1,0.4749065322907523,0.5057265691197453
185,0,0,9,31,149,105,0.14285714285714285,90,15,13,13,4,7,1.0,13,0,3.5,0,-1.7424705480192535,-0.10709293688770977
186,0,0,15,46,58,27,0.48148148148148145,14,13,5,7,4,11,4.5,13,0,7.5,1,-0.029298252380823706,1.2117527246718245
187,1,1,3,11,10,3,,1,2,0,2,1,4,3.0,10,1,,0,-0.5068131579786778,-2.0559470548463947
188,0,0,12,36,55,15,0.8,3,12,4,17,4,11,,13,0,7.0,1,0.44284417934024145,0.5340395523318755
189,0,1,10,33,17,5,0.0,5,0,1,2,2,11,6.0,13,0,7.0,1,0.278405222028287,0.5048746797860474
190,0,1,18,59,63,43,0.2558139534883721,32,11,3,7,2,8,4.0,13,0,3.0,0,-1.4137867173636278,1.0407146738982147
191,0,0,14,50,42,18,0.5555555555555556,8,10,1,5,4,9,5.5,13,0,5.5,1,0.4918924714135444,-0.30094998314996424
192,0,0,13,38,103,73,0.1095890410958904,65,8,8,8,3,8,2.0,10,1,,0,-1.8170125549662473,-0.24130389298208632
193,0,1,16,58,22,14,0.14285714285714285,12,2,3,1,1,5,4.0,13,0,4.5,0,-1.120891412572169,-0.6880312629286472
194,0,0,13,43,82,39,0.46153846153846156,21,18,11,14,4,11,5.5,13,0,6.5,1,-0.25348220784650294,1.179191674505888
195,0,1,18,65,0,0,,0,0,0,0,0,12,8.0,13,0,8.0,1,1.04285412042386,0.6653976278635205
196,0,0,21,29,332,274,0.11313868613138686,243,31,22,18,4,6,,6,1,,0,-2.1768218792724223,1.519625124393038
197,0,0,18,41,30,5,0.4,3,2,3,7,3,6,4.5,13,1,,0,-0.0901290533052473,-1.6761926604179431
198,1,1,12,28,29,8,0.375,5,3,2,6,3,9,4.0,13,0,8.0,1,-0.13001796177426178,-1.4487439978327645
199,0,0,17,45,80,54,0.25925925925925924,40,14,8,3,3,9,3.0,13,0,3.0,0,-0.8515706128857586,0.1545835415627419
200,0,0,16,23,47,25,0.2,20,5,5,8,2,3,,5,1,,0,-0.8543326284902188,-1.07636383064007
201,1,0,7,19,37,9,0.6666666666666666,3,6,4,7,4,7,,13,0,8.0,1,0.5535579643064532,-1.402447350253302
202,1,0,4,16,21,3,,0,3,0,9,2,4,,10,1,,0,0.37283027974114896,-1.1791137313323479
203,0,0,18,61,19,3,,1,2,0,2,3,6,,13,0,6.5,1,1.449480211205392,-1.5246534438480606
204,0,0,12,27,90,50,0.34,33,17,7,14,4,7,,13,0,6.0,1,-0.4773616982608878,0.8752693741903405
205,0,0,10,21,63,38,0.18421052631578946,31,7,8,3,3,6,3.0,9,1,,0,-0.9170418694485962,-0.11324553071031844
206,0,0,19,58,30,6,1.0,0,6,0,6,4,11,9.5,13,0,9.0,1,1.8627318606185566,2.4045353600136443
207,1,0,4,17,64,27,0.4444444444444444,15,12,4,14,4,11,5.0,13,0,5.0,1,-0.0029990315207296114,0.1997921597846699
208,0,0,9,35,26,8,0.75,2,6,1,2,3,9,5.5,13,0,4.5,0,-0.0021954072884525036,0.03955427131621545
209,1,0,4,11,35,11,0.45454545454545453,6,5,2,7,3,5,,7,1,,0,-0.11790081440623121,-1.0461989318826705
210,0,0,17,56,93,53,0.32075471698113206,36,17,8,17,3,10,4.5,13,0,2.0,0,-0.818640675516476,0.8143640561730535
211,0,1,23,70,32,13,0.46153846153846156,7,6,0,6,3,11,7.5,13,0,10.0,1,0.89946560665239,0.4216538225657571
212,0,0,14,49,150,99,0.18181818181818182,81,18,12,21,4,10,3.5,13,0,4.0,0,-1.0419027642724257,0.7902921513663052
213,0,0,18,47,84,38,0.2894736842105263,27,11,6,23,4,10,3.0,13,0,4.0,0,-0.7149381690342009,-0.2555900746209001
214,1,0,4,14,15,2,,1,1,1,3,2,5,5.0,10,1,,0,0.07767911833292923,-0.6853328796039138
215,0,0,16,57,56,20,0.55,9,11,5,16,3,10,6.0,13,0,6.0,1,-0.02135883907045095,-0.14158368011861214
216,0,1,31,65,0,0,,0,0,0,0,0,9,8.0,13,0,10.0,1,1.88522501423614,-0.2711146950830054
217,0,0,27,61,72,48,0.14583333333333334,41,7,7,7,2,5,2.0,13,1,,0,-1.7574361072124713,-0.8274826853060712
218,0,0,8,42,34,6,0.6666666666666666,2,4,2,7,4,12,7.5,13,0,8.5,1,1.623679744590107,2.2831762474827517
