student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4,sheets_semester,midterm,exam,no_show,passed,last_active_week
46,first,0,8,118,75,9,9,6,0.1071,4,6,3.0,0.5,0,0,13
47,first,0,14,42,5,10,3,5,0.6667,4,12,8.5,7.5,0,1,13
48,first,1,20,28,3,6,2,8,0.6667,2,8,5.5,7.5,0,1,13
49,first,0,17,38,8,5,1,11,0.3846,3,9,7.0,5.5,0,1,13
50,first,0,16,86,28,14,6,20,0.3333,4,11,6.0,6.5,0,1,13
51,first,0,20,28,2,3,0,9,0.6,3,10,7.0,7.0,0,1,13
52,first,0,22,103,42,16,6,20,0.2759,4,11,3.0,4.5,0,0,13
53,repeat,0,2,23,6,1,1,0,0.1429,3,5,5.5,,1,0,13
54,first,1,10,32,2,5,0,9,0.7143,4,12,8.5,8.5,0,1,13
55,first,0,13,31,6,5,4,7,0.4545,2,6,6.0,9.0,0,1,13
56,first,1,17,0,0,0,0,0,,0,7,5.5,5.0,0,1,13
57,repeat,0,8,49,24,4,3,9,0.1429,2,5,1.5,,1,0,9
58,first,0,34,81,26,16,7,14,0.381,4,8,6.0,6.5,0,1,13
59,first,0,17,47,10,8,4,10,0.4444,3,8,4.5,5.0,0,1,13
60,repeat,0,10,10,1,1,2,1,,1,3,0.0,2.5,0,0,13
61,repeat,0,4,52,28,3,5,6,0.0968,2,4,1.5,,1,0,10
62,repeat,0,5,48,12,7,3,12,0.3684,3,6,1.5,,1,0,9
63,first,0,20,69,34,12,5,5,0.2609,3,9,5.0,4.0,0,0,13
64,first,1,13,45,10,9,2,11,0.4737,3,7,3.5,6.0,0,1,13
65,first,0,19,67,34,9,4,6,0.2093,3,7,5.5,4.5,0,0,13
66,repeat,0,8,25,4,4,1,4,0.5,3,7,3.5,4.0,0,0,13
67,first,1,14,10,2,3,1,0,0.6,1,9,,4.5,0,0,13
68,first,0,17,112,54,18,7,14,0.25,4,11,4.5,5.0,0,1,13
69,first,0,7,32,3,5,2,4,0.625,4,7,7.0,8.5,0,1,13
70,repeat,0,10,56,12,11,3,11,0.4783,4,9,3.5,8.0,0,1,13
71,first,0,9,73,25,13,5,11,0.3421,4,11,7.0,8.5,0,1,13
72,repeat,0,2,21,4,2,1,4,0.3333,2,7,3.5,,1,0,13
73,repeat,0,6,47,8,10,3,12,0.5556,3,6,6.5,,1,0,8
74,first,0,18,27,4,4,0,4,0.5,3,9,5.5,8.5,0,1,13
75,repeat,1,4,10,2,1,0,2,,1,5,,,1,0,10
76,first,0,10,64,22,8,4,12,0.2667,4,5,,3.5,0,0,13
77,repeat,0,6,53,12,9,4,8,0.4286,4,8,6.0,6.0,0,1,13
78,repeat,0,9,22,0,4,0,8,1.0,3,3,,,1,0,4
79,first,0,15,36,0,6,4,9,1.0,4,11,9.0,7.5,0,1,13
80,first,0,14,164,84,25,14,22,0.2294,4,10,4.0,3.0,0,0,13
81,first,1,13,35,4,7,3,11,0.6364,2,10,6.0,7.0,0,1,13
82,repeat,1,2,0,0,0,0,0,,0,1,,,1,0,9
83,first,0,17,8,1,2,0,1,,1,6,4.5,,1,0,13
84,first,0,10,53,13,8,3,12,0.381,4,10,3.5,7.5,0,1,13
85,repeat,0,1,41,8,7,3,3,0.4667,4,11,5.5,7.0,0,1,13
86,first,0,29,10,1,0,0,0,,2,5,5.5,5.5,0,1,13
87,first,1,15,14,2,1,2,4,,1,5,7.0,6.5,0,1,13
88,repeat,0,5,17,1,3,2,2,0.75,2,4,7.5,,1,0,8
89,first,0,11,8,0,1,1,1,,1,1,,,1,0,8
90,repeat,0,5,0,0,0,0,0,,0,1,,,1,0,6
91,repeat,0,8,74,44,5,5,1,0.102,4,5,,,1,0,7
92,repeat,1,3,8,1,2,1,0,,1,4,3.5,4.5,0,0,13
93,first,0,13,48,9,11,4,11,0.55,3,9,4.5,5.5,0,1,13
94,first,1,30,0,0,0,0,0,,0,5,,4.5,0,0,13
95,first,0,11,29,8,5,2,4,0.3846,2,5,5.0,5.0,0,1,13
96,first,1,10,10,2,2,1,0,0.5,1,7,2.5,4.0,0,0,13
97,repeat,0,5,48,4,9,3,14,0.6923,4,11,6.5,7.0,0,1,13
98,first,0,17,26,2,2,1,7,0.5,3,7,7.5,7.0,0,1,13
99,repeat,0,6,72,15,15,7,15,0.5,4,9,5.5,,1,0,13
100,first,0,15,47,5,9,5,9,0.6429,4,12,7.5,7.0,0,1,13
101,first,0,22,55,19,10,4,10,0.3448,3,8,3.0,4.5,0,0,13
102,first,1,20,12,0,2,1,1,,2,11,9.5,8.5,0,1,13
103,repeat,0,5,45,10,7,3,11,0.4118,3,10,5.5,8.0,0,1,13
104,repeat,0,3,81,45,10,3,9,0.1818,3,8,,4.0,0,0,13
105,repeat,0,3,0,0,0,0,0,,0,1,,,1,0,7
106,first,0,20,59,18,10,8,8,0.3571,3,3,3.0,,1,0,8
107,repeat,0,3,42,20,3,3,6,0.1304,2,4,0.5,0.0,0,0,13
108,repeat,1,3,12,3,2,0,2,0.4,1,9,1.5,2.5,0,0,13
109,first,1,12,0,0,0,0,0,,0,7,6.0,6.5,0,1,13
110,repeat,0,0,7,3,0,0,0,,1,1,,,1,0,7
111,first,0,5,40,5,7,3,5,0.5833,4,12,6.5,9.0,0,1,13
112,first,0,15,9,1,0,0,3,,1,3,,4.0,0,0,13
113,repeat,0,10,47,7,10,2,9,0.5882,4,5,,,1,0,5
114,repeat,1,8,62,40,7,3,4,0.1489,2,4,2.5,,1,0,8
115,repeat,0,7,70,26,14,4,9,0.35,4,12,5.0,5.5,0,1,13
116,first,1,14,12,1,2,0,5,,1,7,6.0,,1,0,9
117,repeat,0,3,20,5,2,3,1,0.2857,2,3,,,1,0,6
118,first,1,38,50,13,11,6,11,0.4583,2,6,4.0,,1,0,9
119,first,0,14,42,8,7,3,9,0.4667,4,6,7.5,,1,0,9
120,first,0,13,60,19,10,3,13,0.3448,3,10,5.5,5.5,0,1,13
121,repeat,0,6,6,0,2,0,0,,1,1,,,1,0,5
122,repeat,1,11,15,4,3,2,1,0.4286,1,5,4.0,,1,0,13
123,first,0,10,137,67,25,15,13,0.2717,4,9,2.5,6.0,0,1,13
124,first,1,9,6,0,2,1,0,,1,7,7.5,9.5,0,1,13
125,first,0,10,21,0,2,0,9,,2,5,,,1,0,7
126,repeat,1,6,32,19,4,3,2,0.1739,1,9,4.5,3.5,0,0,13
127,first,0,13,21,0,4,1,7,1.0,2,4,7.0,8.0,0,1,13
128,first,0,15,38,4,6,1,12,0.6,3,5,8.0,,1,0,9
129,repeat,0,6,8,0,0,0,1,,2,10,,10.0,0,1,13
130,first,1,15,64,28,10,5,8,0.2632,3,7,3.5,2.0,0,0,13
131,repeat,0,5,23,8,2,3,0,0.2,2,3,0.0,,1,0,8
132,first,1,16,38,11,8,5,9,0.4211,1,10,6.0,5.5,0,1,13
133,first,0,16,207,161,11,8,9,0.064,4,7,0.5,3.0,0,0,13
134,first,1,26,0,0,0,0,0,,0,6,2.5,0.0,0,0,13
135,first,0,14,23,1,3,1,8,0.75,2,5,,,1,0,8
136,first,0,15,57,5,12,5,17,0.7059,4,11,6.5,9.0,0,1,13
137,first,0,13,45,6,11,1,9,0.6471,4,10,5.0,8.0,0,1,13
138,first,1,16,12,0,2,1,1,,2,2,,,1,0,5
139,first,0,19,61,21,11,3,8,0.3438,4,10,5.5,6.0,0,1,13
140,first,0,14,60,9,15,5,12,0.625,4,12,7.0,6.5,0,1,13
141,first,1,24,14,3,3,1,2,0.5,1,10,6.5,4.5,0,0,13
142,first,0,20,15,2,4,1,3,0.6667,1,3,5.0,,1,0,10
143,first,0,11,19,0,3,0,2,,3,6,9.0,,1,0,8
144,first,0,14,38,9,9,1,5,0.5,3,9,5.0,3.5,0,0,13
145,first,0,14,21,8,1,2,0,0.1111,2,4,4.5,1.5,0,0,13
146,first,1,9,0,0,0,0,0,,0,3,6.0,,1,0,8
147,first,1,11,18,5,2,1,5,0.2857,1,7,4.0,,1,0,8
148,first,0,25,8,0,3,0,0,,1,6,5.0,8.5,0,1,13
149,first,1,24,39,9,11,3,5,0.55,3,10,6.0,8.5,0,1,13
150,first,0,19,10,0,2,0,4,,1,4,,,1,0,7
151,first,0,12,68,12,14,7,16,0.5385,4,11,6.5,6.0,0,1,13
152,first,0,26,85,22,16,6,21,0.4211,4,10,5.0,6.0,0,1,13
153,first,1,12,20,3,1,0,7,0.25,2,5,,,1,0,8
154,first,0,15,56,19,11,5,6,0.3667,3,8,5.0,4.5,0,0,13
155,repeat,0,8,30,4,6,1,4,0.6,3,8,4.0,4.5,0,0,13
156,first,0,15,47,11,11,3,8,0.5,3,7,4.5,6.5,0,1,13
157,first,1,10,78,17,18,9,15,0.5143,4,10,5.0,7.5,0,1,13
158,first,0,9,25,2,5,1,5,0.7143,3,10,6.0,7.5,0,1,13
159,first,0,14,40,1,11,4,6,0.9167,4,5,,,1,0,6
160,repeat,0,6,10,0,0,0,2,,2,4,7.5,8.5,0,1,13
161,first,0,16,12,4,0,0,3,0.0,1,7,5.0,,1,0,13
162,first,0,16,52,10,7,4,13,0.4118,4,8,6.5,6.0,0,1,13
163,first,0,20,74,32,9,5,15,0.2195,3,8,4.5,5.0,0,1,13
164,repeat,0,4,11,1,2,1,2,,1,1,5.5,,1,0,13
165,repeat,1,3,62,28,13,5,7,0.3171,2,5,,,1,0,7
166,first,0,16,84,24,13,10,17,0.3514,4,9,5.0,7.5,0,1,13
167,first,0,20,34,6,6,2,6,0.5,3,10,7.0,8.0,0,1,13
168,first,0,13,31,7,5,2,4,0.4167,3,3,,,1,0,4
169,first,0,15,78,38,6,6,10,0.1364,4,7,1.5,3.5,0,0,13
170,first,0,13,47,8,9,4,6,0.5294,4,11,8.0,7.5,0,1,13
171,first,0,17,62,16,12,5,9,0.4286,4,12,6.0,7.5,0,1,13
172,first,1,16,31,4,6,4,5,0.6,3,4,,,1,0,6
173,repeat,1,7,0,0,0,0,0,,0,2,3.5,5.0,0,1,13
174,repeat,0,5,26,3,4,5,4,0.5714,2,5,2.0,,1,0,8
175,first,0,23,69,19,15,7,11,0.4412,4,7,5.5,4.0,0,0,13
176,first,0,18,113,52,18,9,15,0.2571,4,7,3.5,4.5,0,0,13
177,repeat,0,2,5,2,0,0,0,,1,4,5.0,,1,0,13
178,repeat,0,5,101,53,14,10,9,0.209,3,6,5.0,6.0,0,1,13
179,first,0,8,52,13,10,6,8,0.4348,3,5,5.5,4.5,0,0,13
180,first,1,22,13,2,3,1,3,0.6,1,6,4.0,4.0,0,0,13
181,first,1,7,89,41,14,11,9,0.2545,3,8,3.0,3.0,0,0,13
182,first,0,12,154,115,9,6,4,0.0726,4,7,1.5,0.5,0,0,13
183,first,1,6,54,23,8,2,6,0.2581,3,8,4.0,4.5,0,0,13
184,first,0,21,69,6,16,7,20,0.7273,4,11,,7.0,0,1,13
185,first,0,9,149,90,15,13,13,0.1429,4,7,1.0,3.5,0,0,13
186,first,0,15,58,14,13,5,7,0.4815,4,11,4.5,7.5,0,1,13
187,repeat,1,3,10,1,2,0,2,,1,4,3.0,,1,0,10
188,first,0,12,55,3,12,4,17,0.8,4,11,,7.0,0,1,13
189,first,1,10,17,5,0,1,2,0.0,2,11,6.0,7.0,0,1,13
190,first,1,18,63,32,11,3,7,0.2558,2,8,4.0,3.0,0,0,13
191,first,0,14,42,8,10,1,5,0.5556,4,9,5.5,5.5,0,1,13
192,first,0,13,103,65,8,8,8,0.1096,3,8,2.0,,1,0,10
193,first,1,16,22,12,2,3,1,0.1429,1,5,4.0,4.5,0,0,13
194,first,0,13,82,21,18,11,14,0.4615,4,11,5.5,6.5,0,1,13
195,first,1,18,0,0,0,0,0,,0,12,8.0,8.0,0,1,13
196,first,0,21,332,243,31,22,18,0.1131,4,6,,,1,0,6
197,first,0,18,30,3,2,3,7,0.4,3,6,4.5,,1,0,13
198,repeat,1,12,29,5,3,2,6,0.375,3,9,4.0,8.0,0,1,13
199,first,0,17,80,40,14,8,3,0.2593,3,9,3.0,3.0,0,0,13
200,first,0,16,47,20,5,5,8,0.2,2,3,,,1,0,5
201,repeat,0,7,37,3,6,4,7,0.6667,4,7,,8.0,0,1,13
202,repeat,0,4,21,0,3,0,9,,2,4,,,1,0,10
203,first,0,18,19,1,2,0,2,,3,6,,6.5,0,1,13
204,first,0,12,90,33,17,7,14,0.34,4,7,,6.0,0,1,13
205,first,0,10,63,31,7,8,3,0.1842,3,6,3.0,,1,0,9
206,first,0,19,30,0,6,0,6,1.0,4,11,9.5,9.0,0,1,13
207,repeat,0,4,64,15,12,4,14,0.4444,4,11,5.0,5.0,0,1,13
208,first,0,9,26,2,6,1,2,0.75,3,9,5.5,4.5,0,0,13
209,repeat,0,4,35,6,5,2,7,0.4545,3,5,,,1,0,7
210,first,0,17,93,36,17,8,17,0.3208,3,10,4.5,2.0,0,0,13
211,first,1,23,32,7,6,0,6,0.4615,3,11,7.5,10.0,0,1,13
212,first,0,14,150,81,18,12,21,0.1818,4,10,3.5,4.0,0,0,13
213,first,0,18,84,27,11,6,23,0.2895,4,10,3.0,4.0,0,0,13
214,repeat,0,4,15,1,1,1,3,,2,5,5.0,,1,0,10
215,first,0,16,56,9,11,5,16,0.55,3,10,6.0,6.0,0,1,13
216,first,1,31,0,0,0,0,0,,0,9,8.0,10.0,0,1,13
217,first,0,27,72,41,7,7,7,0.1458,2,5,2.0,,1,0,13
218,first,0,8,34,2,4,2,7,0.6667,4,12,7.5,8.5,0,1,13
219,repeat,0,5,49,14,10,5,6,0.4167,3,9,,7.0,0,1,13
220,repeat,1,3,9,1,1,1,3,,1,5,5.0,,1,0,10
221,first,0,12,52,16,11,4,5,0.4074,4,10,4.5,7.0,0,1,13
222,repeat,1,3,0,0,0,0,0,,0,5,4.0,5.0,0,1,13
223,repeat,0,6,12,1,3,2,2,0.75,1,1,4.0,6.0,0,1,13
224,repeat,1,6,18,0,3,1,4,,2,6,6.5,6.0,0,1,13
225,first,1,14,60,24,12,6,9,0.3333,2,8,4.5,4.5,0,0,13
226,first,0,16,42,5,11,4,8,0.6875,3,9,6.0,7.0,0,1,13
227,repeat,1,4,0,0,0,0,0,,0,1,,,1,0,4
228,first,1,26,31,6,5,1,5,0.4545,3,10,7.0,9.0,0,1,13
229,first,1,15,112,59,17,11,10,0.2237,3,8,1.0,2.0,0,0,13
230,first,0,13,50,14,7,3,16,0.3333,2,6,5.5,4.5,0,0,13
231,first,0,10,17,0,0,1,1,,3,3,6.5,,1,0,8
232,first,0,10,0,0,0,0,0,,0,3,,,1,0,13
233,first,0,20,72,33,8,4,13,0.1951,3,3,,,1,0,3
234,first,0,6,52,9,11,4,14,0.55,3,8,,,1,0,10
235,repeat,0,5,38,18,3,1,5,0.1429,3,6,6.0,,1,0,13
236,first,0,13,45,1,9,5,12,0.9,4,10,5.0,7.0,0,1,13
237,repeat,0,7,10,0,1,0,4,,1,4,3.5,6.5,0,1,13
238,first,0,17,53,28,3,4,4,0.0968,3,5,1.5,,1,0,8
239,first,0,19,53,9,8,7,9,0.4706,4,11,4.5,,1,0,13
240,first,0,15,41,4,11,2,10,0.7333,3,10,8.0,7.0,0,1,13
241,first,0,16,7,3,0,0,0,,1,2,,,1,0,7
242,first,0,14,72,15,15,4,18,0.5,4,11,5.0,8.0,0,1,13
243,first,0,7,70,34,7,6,10,0.1707,3,6,3.5,4.5,0,0,13
244,repeat,0,2,11,0,1,0,0,,2,4,4.0,,1,0,8
245,first,1,16,13,1,1,1,1,,2,9,6.0,7.0,0,1,13
246,first,0,13,10,1,0,1,3,,1,4,4.0,5.0,0,1,13
247,first,0,14,73,48,4,3,4,0.0769,3,6,1.5,3.0,0,0,13
248,first,0,14,68,14,14,5,18,0.5,4,9,5.5,6.5,0,1,13
249,first,0,10,7,0,1,1,1,,1,4,,,1,0,13
250,repeat,0,12,21,5,2,2,3,0.2857,2,3,5.5,6.5,0,1,13
251,repeat,0,3,27,3,5,3,1,0.625,3,5,6.5,4.5,0,0,13
252,first,0,14,82,33,14,12,9,0.2979,3,5,,,1,0,6
253,first,1,6,40,9,9,4,9,0.5,2,12,4.0,6.0,0,1,13
254,repeat,1,7,9,3,0,1,0,,1,9,2.5,,1,0,13
255,first,0,9,41,12,8,5,7,0.4,2,5,4.5,,1,0,11
256,first,0,13,46,8,7,2,10,0.4667,4,8,3.5,7.0,0,1,13
257,repeat,0,3,0,0,0,0,0,,0,1,,,1,0,6
258,first,0,12,8,0,1,1,2,,1,5,6.0,6.5,0,1,13
259,first,0,6,15,2,1,1,2,,2,2,2.5,,1,0,8
260,first,0,5,35,1,7,2,7,0.875,4,11,8.5,8.0,0,1,13
261,first,1,15,93,49,14,8,10,0.2222,3,11,3.0,4.0,0,0,13
262,first,1,14,13,1,2,1,5,,1,2,,,1,0,6
263,first,0,27,52,11,8,3,15,0.4211,3,10,6.0,8.0,0,1,13
264,first,0,17,10,0,0,0,1,,2,4,9.0,10.0,0,1,13
265,first,0,7,26,0,6,2,4,1.0,3,10,8.0,8.0,0,1,13
266,first,0,4,180,98,25,13,25,0.2033,4,9,1.5,5.0,0,1,13
267,first,1,26,0,0,0,0,0,,0,10,7.5,9.0,0,1,13
268,first,1,17,37,13,3,3,9,0.1875,2,8,3.5,5.0,0,1,13
269,first,1,10,33,2,8,3,7,0.8,3,10,5.5,6.0,0,1,13
270,first,0,12,29,3,7,1,5,0.7,3,8,,10.0,0,1,13
271,repeat,0,4,12,1,2,0,1,,2,4,,,1,0,7
272,first,0,11,69,15,15,5,16,0.5,4,7,5.5,6.0,0,1,13
273,first,0,21,69,28,10,3,13,0.2632,3,9,4.0,4.5,0,0,13
274,first,0,19,44,5,13,2,5,0.7222,4,12,8.0,9.0,0,1,13
275,first,0,9,33,3,5,0,6,0.625,4,12,,,1,0,13
276,repeat,0,8,128,67,22,11,10,0.2472,4,10,4.0,5.5,0,1,13
277,repeat,1,8,0,0,0,0,0,,0,7,4.5,8.5,0,1,13
278,repeat,1,5,0,0,0,0,0,,0,0,,,1,0,7
279,first,0,18,11,3,2,1,1,0.4,1,1,3.0,,1,0,8
280,first,1,7,40,11,7,3,6,0.3889,3,12,6.5,9.0,0,1,13
281,repeat,0,4,17,0,0,0,8,,2,4,4.0,5.5,0,1,13
282,first,0,25,44,10,8,6,7,0.4444,3,11,5.5,6.5,0,1,13
283,first,1,6,20,7,3,1,4,0.3,1,7,4.5,4.0,0,0,13
284,first,0,16,42,1,11,5,10,0.9167,3,11,5.5,6.0,0,1,13
285,repeat,0,1,47,18,5,5,4,0.2174,3,4,0.0,,1,0,8
286,first,0,15,40,6,7,2,12,0.5385,3,7,,5.0,0,1,13
287,first,0,19,38,8,6,2,7,0.4286,3,9,4.5,7.0,0,1,13
288,repeat,0,8,0,0,0,0,0,,0,2,6.5,,1,0,13
289,first,0,17,54,13,7,5,15,0.35,3,6,2.0,,1,0,9
290,first,1,9,39,15,8,2,1,0.3478,3,8,2.0,4.5,0,0,13
291,repeat,1,4,37,10,3,4,10,0.2308,2,8,5.0,,1,0,9
292,first,1,10,16,2,3,1,5,0.6,1,11,,7.0,0,1,13
293,repeat,0,10,40,5,6,2,13,0.5455,3,9,2.5,,1,0,13
294,repeat,0,3,14,7,2,1,0,0.2222,1,8,3.5,5.5,0,1,13
295,first,0,8,9,1,1,0,3,,1,1,,,1,0,2
296,repeat,0,2,0,0,0,0,0,,0,7,4.5,2.5,0,0,13
297,first,0,9,56,12,11,7,7,0.4783,4,10,6.0,8.0,0,1,13
298,repeat,0,4,53,18,10,6,4,0.3571,3,7,4.0,,1,0,11
299,first,0,14,46,4,4,2,17,0.5,4,7,6.0,,1,0,13
300,first,0,9,29,0,5,1,5,1.0,4,12,6.5,10.0,0,1,13
301,first,1,19,17,6,2,1,3,0.25,1,9,3.5,7.0,0,1,13
302,first,1,11,0,0,0,0,0,,0,12,8.0,8.5,0,1,13
303,first,1,18,19,1,2,0,6,,2,11,6.5,7.0,0,1,13
304,first,0,18,16,2,4,2,1,0.6667,2,8,7.0,7.5,0,1,13
305,repeat,0,8,34,6,3,0,10,0.3333,3,6,4.5,3.5,0,0,13
306,first,0,17,117,69,8,11,10,0.1039,4,7,2.0,3.0,0,0,13
307,repeat,0,7,0,0,0,0,0,,0,1,6.0,,1,0,8
308,repeat,1,6,0,0,0,0,0,,0,0,6.5,,1,0,10
309,repeat,0,5,31,7,5,1,4,0.4167,3,9,6.0,7.0,0,1,13
310,repeat,0,1,137,104,3,5,7,0.028,4,6,1.5,2.0,0,0,13
311,first,0,18,63,14,11,4,17,0.44,4,9,6.0,4.5,0,0,13
312,first,0,20,35,2,7,1,6,0.7778,4,11,7.0,6.0,0,1,13
