student_id,enrolment,works,logins_w1_4,submissions_w1_4,EE,ES,SE,SS,p_ES_w1_4,sheets_on_time_w1_4
117,repeat,1,10,15,0,2,0,4,,2
118,repeat,0,10,32,3,6,1,7,0.6667,3
119,first,1,21,10,1,2,0,3,,1
120,first,0,17,12,1,3,3,1,0.75,1
121,first,1,13,48,22,7,5,6,0.2414,2
122,first,0,8,98,45,17,11,9,0.2742,4
123,first,0,23,48,27,4,5,2,0.129,2
124,first,0,17,19,0,5,0,5,1.0,2
125,first,1,17,9,1,3,1,0,0.75,1
126,first,0,14,29,2,7,3,8,0.7778,2
127,first,0,30,56,5,15,6,10,0.75,4
128,first,0,25,74,17,14,6,23,0.4516,3
129,first,1,6,92,34,18,11,15,0.3462,3
130,repeat,0,8,38,9,10,3,3,0.5263,3
131,first,0,21,197,121,20,17,20,0.1418,4
132,repeat,1,5,37,9,7,4,8,0.4375,2
133,repeat,0,9,19,0,3,2,3,,3
134,first,0,9,140,73,16,12,19,0.1798,4
135,first,0,15,56,13,9,6,10,0.4091,4
136,first,0,11,21,7,3,1,1,0.3,2
137,first,0,16,70,13,17,9,12,0.5667,4
138,first,0,9,118,51,24,11,13,0.32,4
139,first,0,14,15,4,2,1,4,0.3333,1
140,first,0,13,9,0,1,0,1,,2
141,first,1,28,7,0,0,0,2,,1
142,repeat,0,3,14,2,1,2,4,,1
143,first,0,11,45,2,6,2,16,0.75,4
144,first,0,26,0,0,0,0,0,,0
145,first,0,13,22,1,3,0,4,0.75,3
146,first,0,16,67,13,16,7,11,0.5517,4
147,repeat,1,4,0,0,0,0,0,,0
148,repeat,0,7,50,11,10,2,7,0.4762,4
149,first,0,12,22,3,3,1,8,0.5,2
150,first,0,12,122,63,20,12,8,0.241,4
151,first,0,16,27,3,6,2,7,0.6667,2
152,repeat,0,11,16,1,4,0,2,0.8,2
153,first,0,9,29,0,5,0,5,1.0,4
154,repeat,0,5,25,0,4,1,5,1.0,3
155,repeat,0,5,8,2,0,0,1,,1
156,first,0,9,69,19,13,4,14,0.4062,4
157,repeat,0,10,6,0,0,1,0,,1
158,repeat,0,1,45,8,10,1,7,0.5556,4
159,repeat,0,5,7,1,0,0,1,,1
160,repeat,1,3,11,1,1,1,3,,1
161,first,0,17,11,2,2,0,2,0.5,1
162,repeat,0,4,0,0,0,0,0,,0
163,first,0,15,44,9,9,6,5,0.5,3
164,first,1,12,0,0,0,0,0,,0
165,repeat,1,2,0,0,0,0,0,,0
166,first,1,15,0,0,0,0,0,,0
167,first,0,23,0,0,0,0,0,,0
168,repeat,0,6,71,18,13,9,11,0.4194,4
169,repeat,0,4,12,5,2,0,0,0.2857,1
170,first,1,5,13,3,2,2,1,0.4,1
171,first,0,6,63,17,11,3,14,0.3929,4
172,repeat,0,2,24,7,2,4,1,0.2222,2
173,repeat,0,4,216,154,19,17,6,0.1098,4
174,first,0,14,28,2,5,0,6,0.7143,3
175,first,0,12,15,1,1,3,3,,2
176,repeat,1,6,9,1,2,0,1,,1
177,repeat,0,3,0,0,0,0,0,,0
178,first,0,10,27,9,5,3,0,0.3571,2
179,first,0,15,6,0,0,0,1,,1
180,first,0,15,22,0,3,0,1,,4
181,first,0,18,60,6,10,4,22,0.625,4
182,first,0,19,112,49,21,10,13,0.3,4
183,first,0,12,47,11,6,4,15,0.3529,3
184,first,0,14,16,0,0,0,1,,3
185,first,0,12,15,0,2,0,3,,2
186,first,0,20,66,18,10,6,12,0.3571,4
187,repeat,0,10,29,1,4,1,5,0.8,4
188,first,0,11,74,23,12,7,13,0.3429,4
189,first,0,28,44,6,8,2,13,0.5714,3
190,repeat,0,10,26,6,3,2,5,0.3333,2
191,repeat,0,3,183,118,18,17,12,0.1324,4
192,first,0,19,48,7,8,4,11,0.5333,4
193,repeat,0,0,30,10,4,1,6,0.2857,2
194,first,0,21,39,3,7,3,7,0.7,4
195,first,0,12,61,17,12,4,11,0.4138,4
196,repeat,0,4,40,7,7,1,9,0.5,4
197,repeat,1,4,48,12,8,4,9,0.4,3
198,repeat,0,5,42,6,10,2,7,0.625,4
199,first,0,11,23,0,3,0,5,,3
200,first,0,8,41,7,6,1,13,0.4615,3
201,first,1,20,17,4,3,1,5,0.4286,1
202,first,1,18,16,4,3,2,4,0.4286,1
203,first,1,18,37,6,7,4,10,0.5385,2
204,first,0,13,105,44,20,11,14,0.3125,4
205,first,0,18,27,1,4,1,8,0.8,3
206,first,0,10,35,7,6,3,7,0.4615,3
207,repeat,1,7,37,8,6,5,8,0.4286,2
208,first,0,18,60,23,10,3,8,0.303,4
209,first,0,12,31,3,3,0,7,0.5,4
210,repeat,1,2,0,0,0,0,0,,0
211,first,0,7,116,47,17,14,19,0.2656,4
212,repeat,0,3,0,0,0,0,0,,0
213,repeat,0,6,48,19,4,6,5,0.1739,3
214,first,0,22,38,3,7,4,4,0.7,4
215,first,0,19,39,20,4,3,2,0.1667,2
216,first,0,25,13,0,0,0,3,,2
217,repeat,1,7,0,0,0,0,0,,0
218,first,1,11,39,10,6,0,8,0.375,3
219,first,0,14,193,125,21,12,15,0.1438,4
220,repeat,0,8,41,7,7,4,10,0.5,3
221,repeat,0,3,0,0,0,0,0,,0
222,first,1,15,0,0,0,0,0,,0
223,first,0,9,24,0,1,1,3,,4
224,first,1,25,0,0,0,0,0,,0
225,first,0,22,26,7,5,2,2,0.4167,2
226,repeat,0,5,27,4,1,2,8,0.2,3
227,first,0,15,20,0,3,1,3,,3
228,first,1,17,31,7,5,3,11,0.4167,1
229,first,0,18,34,7,4,2,6,0.3636,3
230,first,0,14,84,45,8,7,10,0.1509,3
231,repeat,0,4,23,1,1,0,4,,4
232,first,0,22,34,7,6,2,9,0.4615,2
233,first,0,8,71,49,5,4,3,0.0926,2
234,first,0,10,27,1,3,1,5,0.75,4
235,first,0,25,141,72,21,13,17,0.2258,4
236,first,0,16,65,15,15,7,11,0.5,4
237,repeat,0,6,25,4,5,1,5,0.5556,2
238,first,0,17,155,61,30,16,29,0.3297,4
239,first,0,24,49,8,11,1,11,0.5789,4
240,first,0,19,63,25,7,4,16,0.2188,3
241,first,0,11,37,1,8,3,7,0.8889,4
242,first,0,19,80,20,14,5,23,0.4118,4
243,first,1,10,34,3,5,1,10,0.625,3
244,first,0,25,68,18,13,7,14,0.4194,4
245,first,0,21,56,19,9,6,7,0.3214,3
246,first,0,14,65,23,7,9,14,0.2333,3
247,first,1,17,29,14,3,3,0,0.1765,2
248,first,0,16,39,6,5,2,8,0.4545,4
249,repeat,0,10,37,12,5,4,2,0.2941,3
250,first,1,5,20,4,4,1,1,0.5,2
251,repeat,1,8,15,4,2,1,3,0.3333,1
252,first,0,20,70,16,11,8,17,0.4074,4
253,repeat,0,2,19,2,4,0,4,0.6667,2
254,first,1,9,16,0,2,0,5,,2
255,repeat,0,12,0,0,0,0,0,,0
256,first,0,6,68,19,10,6,14,0.3448,4
257,first,0,13,14,1,2,0,2,,2
258,first,0,8,78,31,12,8,12,0.2791,4
259,first,0,35,59,6,12,6,17,0.6667,4
260,first,0,24,67,9,15,8,16,0.625,4
261,first,0,19,10,0,1,0,1,,2
262,repeat,0,9,7,2,0,0,1,,1
263,first,0,13,93,52,10,10,7,0.1613,3
264,first,0,20,54,10,7,3,15,0.4118,4
265,repeat,0,7,39,11,4,4,6,0.2667,3
266,first,1,14,79,37,7,8,19,0.1591,2
267,first,0,14,29,6,5,1,3,0.4545,3
268,first,0,12,34,2,3,1,10,0.6,4
269,repeat,0,8,52,9,12,5,11,0.5714,3
270,first,0,18,19,1,7,1,1,0.875,2
271,first,1,17,0,0,0,0,0,,0
272,first,1,13,0,0,0,0,0,,0
273,first,0,18,102,37,19,10,18,0.3393,4
274,first,0,15,67,20,13,5,9,0.3939,4
275,first,0,16,103,34,16,11,23,0.32,4
276,first,0,19,36,1,9,1,6,0.9,4
277,first,0,23,67,27,12,2,7,0.3077,4
278,repeat,0,5,0,0,0,0,0,,0
279,repeat,0,8,17,3,2,1,3,0.4,2
280,first,1,21,75,42,10,6,8,0.1923,2
281,first,0,17,18,4,4,0,0,0.5,2
282,repeat,0,9,11,0,0,0,0,,3
283,first,1,7,32,18,2,1,6,0.1,1
284,repeat,0,4,22,3,2,2,10,0.4,1
285,repeat,0,7,18,8,2,2,1,0.2,1
286,repeat,0,3,0,0,0,0,0,,0
287,first,0,19,16,0,3,2,2,,2
288,first,1,11,0,0,0,0,0,,0
289,first,0,13,59,9,11,6,15,0.55,4
290,first,0,16,33,5,3,0,10,0.375,3
291,repeat,0,6,54,32,4,5,3,0.1111,2
292,repeat,0,7,0,0,0,0,0,,0
293,first,1,18,18,4,3,2,5,0.4286,1
294,repeat,0,9,73,19,15,5,14,0.4412,4
295,repeat,0,9,30,2,5,0,6,0.7143,4
296,first,0,13,52,10,10,6,13,0.5,3
297,first,0,19,144,79,20,11,14,0.202,4
298,first,1,26,26,12,1,1,3,0.0769,2
